Elapsed_time	ECG
       0.000	  0.448
       0.004	  0.383
       0.008	  0.320
       0.012	  0.265
       0.016	  0.220
       0.020	  0.170
       0.024	  0.125
       0.028	  0.090
       0.032	  0.050
       0.036	  0.018
       0.040	 -0.018
       0.044	 -0.040
       0.048	 -0.065
       0.052	 -0.090
       0.056	 -0.110
       0.060	 -0.122
       0.064	 -0.130
       0.068	 -0.138
       0.072	 -0.138
       0.076	 -0.142
       0.080	 -0.147
       0.084	 -0.142
       0.088	 -0.135
       0.092	 -0.130
       0.096	 -0.125
       0.100	 -0.130
       0.104	 -0.125
       0.108	 -0.130
       0.112	 -0.135
       0.116	 -0.138
       0.120	 -0.135
       0.124	 -0.138
       0.128	 -0.138
       0.132	 -0.147
       0.136	 -0.147
       0.140	 -0.138
       0.144	 -0.130
       0.148	 -0.105
       0.152	 -0.083
       0.156	 -0.045
       0.160	  0.000
       0.164	  0.025
       0.168	  0.037
       0.172	  0.045
       0.176	  0.040
       0.180	  0.045
       0.184	  0.045
       0.188	  0.058
       0.192	  0.060
       0.196	  0.065
       0.200	  0.070
       0.204	  0.060
       0.208	  0.050
       0.212	  0.045
       0.216	  0.045
       0.220	  0.050
       0.224	  0.045
       0.228	  0.040
       0.232	  0.028
       0.236	  0.018
       0.240	  0.000
       0.244	 -0.033
       0.248	 -0.060
       0.252	 -0.083
       0.256	 -0.090
       0.260	 -0.090
       0.264	 -0.090
       0.268	 -0.083
       0.272	 -0.058
       0.276	 -0.025
       0.280	  0.020
       0.284	  0.033
       0.288	  0.037
       0.292	  0.050
       0.296	  0.085
       0.300	  0.117
       0.304	  0.060
       0.308	 -0.142
       0.312	 -0.422
       0.316	 -0.743
       0.320	 -1.025
       0.324	 -1.228
       0.328	 -1.365
       0.332	 -1.468
       0.336	 -1.552
       0.340	 -1.643
       0.344	 -1.760
       0.348	 -1.893
       0.352	 -2.022
       0.356	 -2.100
       0.360	 -2.118
       0.364	 -2.075
       0.368	 -1.990
       0.372	 -1.860
       0.376	 -1.702
       0.380	 -1.502
       0.384	 -1.295
       0.388	 -1.123
       0.392	 -0.963
       0.396	 -0.845
       0.400	 -0.767
       0.404	 -0.682
       0.408	 -0.610
       0.412	 -0.532
       0.416	 -0.435
       0.420	 -0.330
       0.424	 -0.212
       0.428	 -0.033
       0.432	  0.168
       0.436	  0.352
       0.440	  0.537
       0.444	  0.675
       0.448	  0.755
       0.452	  0.792
       0.456	  0.818
       0.460	  0.833
       0.464	  0.853
       0.468	  0.858
       0.472	  0.873
       0.476	  0.885
       0.480	  0.897
       0.484	  0.905
       0.488	  0.922
       0.492	  0.938
       0.496	  0.955
       0.500	  0.970
       0.504	  0.993
       0.508	  1.012
       0.512	  1.035
       0.516	  1.065
       0.520	  1.097
       0.524	  1.130
       0.528	  1.163
       0.532	  1.198
       0.536	  1.240
       0.540	  1.280
       0.544	  1.320
       0.548	  1.360
       0.552	  1.393
       0.556	  1.425
       0.560	  1.455
       0.564	  1.475
       0.568	  1.490
       0.572	  1.500
       0.576	  1.495
       0.580	  1.488
       0.584	  1.462
       0.588	  1.430
       0.592	  1.390
       0.596	  1.340
       0.600	  1.280
       0.604	  1.210
       0.608	  1.143
       0.612	  1.067
       0.616	  1.000
       0.620	  0.917
       0.624	  0.840
       0.628	  0.765
       0.632	  0.677
       0.636	  0.598
       0.640	  0.525
       0.644	  0.450
       0.648	  0.383
       0.652	  0.312
       0.656	  0.253
       0.660	  0.195
       0.664	  0.142
       0.668	  0.090
       0.672	  0.050
       0.676	  0.005
       0.680	 -0.040
       0.684	 -0.072
       0.688	 -0.092
       0.692	 -0.115
       0.696	 -0.135
       0.700	 -0.150
       0.704	 -0.158
       0.708	 -0.168
       0.712	 -0.170
       0.716	 -0.180
       0.720	 -0.180
       0.724	 -0.180
       0.728	 -0.170
       0.732	 -0.168
       0.736	 -0.168
       0.740	 -0.163
       0.744	 -0.168
       0.748	 -0.163
       0.752	 -0.168
       0.756	 -0.163
       0.760	 -0.163
       0.764	 -0.158
       0.768	 -0.168
       0.772	 -0.163
       0.776	 -0.170
       0.780	 -0.170
       0.784	 -0.180
       0.788	 -0.180
       0.792	 -0.182
       0.796	 -0.188
       0.800	 -0.188
       0.804	 -0.188
       0.808	 -0.180
       0.812	 -0.163
       0.816	 -0.130
       0.820	 -0.090
       0.824	 -0.058
       0.828	 -0.037
       0.832	 -0.033
       0.836	 -0.037
       0.840	 -0.040
       0.844	 -0.037
       0.848	 -0.028
       0.852	 -0.020
       0.856	  0.000
       0.860	  0.007
       0.864	  0.005
       0.868	  0.000
       0.872	 -0.025
       0.876	 -0.028
       0.880	 -0.028
       0.884	 -0.033
       0.888	 -0.045
       0.892	 -0.065
       0.896	 -0.083
       0.900	 -0.098
       0.904	 -0.110
       0.908	 -0.117
       0.912	 -0.117
       0.916	 -0.105
       0.920	 -0.083
       0.924	 -0.052
       0.928	 -0.040
       0.932	 -0.050
       0.936	 -0.045
       0.940	  0.000
       0.944	  0.020
       0.948	 -0.050
       0.952	 -0.228
       0.956	 -0.495
       0.960	 -0.805
       0.964	 -1.077
       0.968	 -1.285
       0.972	 -1.415
       0.976	 -1.520
       0.980	 -1.600
       0.984	 -1.690
       0.988	 -1.805
       0.992	 -1.938
       0.996	 -2.065
       1.000	 -2.145
       1.004	 -2.165
       1.008	 -2.132
       1.012	 -2.055
       1.016	 -1.942
       1.020	 -1.792
       1.024	 -1.617
       1.028	 -1.425
       1.032	 -1.240
       1.036	 -1.080
       1.040	 -0.980
       1.044	 -0.905
       1.048	 -0.845
       1.052	 -0.767
       1.056	 -0.675
       1.060	 -0.570
       1.064	 -0.455
       1.068	 -0.330
       1.072	 -0.170
       1.076	  0.028
       1.080	  0.228
       1.084	  0.415
       1.088	  0.565
       1.092	  0.657
       1.096	  0.708
       1.100	  0.733
       1.104	  0.748
       1.108	  0.760
       1.112	  0.775
       1.116	  0.785
       1.120	  0.792
       1.124	  0.807
       1.128	  0.820
       1.132	  0.833
       1.136	  0.845
       1.140	  0.865
       1.144	  0.885
       1.148	  0.902
       1.152	  0.922
       1.156	  0.950
