Elapsed_time	ECG
       0.000	  0.850
       0.004	  0.850
       0.008	  0.850
       0.012	  0.875
       0.016	  0.887
       0.020	  0.887
       0.024	  0.887
       0.028	  0.887
       0.032	  0.887
       0.036	  0.875
       0.040	  0.875
       0.044	  0.875
       0.048	  0.900
       0.052	  0.925
       0.056	  0.900
       0.060	  0.900
       0.064	  0.900
       0.068	  0.938
       0.072	  0.975
       0.076	  0.988
       0.080	  0.950
       0.084	  0.925
       0.088	  0.875
       0.092	  0.863
       0.096	  0.863
       0.100	  0.850
       0.104	  0.838
       0.108	  0.825
       0.112	  0.812
       0.116	  0.838
       0.120	  0.887
       0.124	  0.950
       0.128	  1.025
       0.132	  1.087
       0.136	  1.100
       0.140	  1.087
       0.144	  1.050
       0.148	  1.025
       0.152	  1.038
       0.156	  1.062
       0.160	  1.125
       0.164	  1.175
       0.168	  1.238
       0.172	  1.337
       0.176	  1.488
       0.180	  1.675
       0.184	  1.850
       0.188	  1.913
       0.192	  1.825
       0.196	  1.575
       0.200	  1.238
       0.204	  0.887
       0.208	  0.650
       0.212	  0.537
       0.216	  0.500
       0.220	  0.550
       0.224	  0.675
       0.228	  0.787
       0.232	  0.875
       0.236	  0.938
       0.240	  0.975
       0.244	  1.000
       0.248	  0.988
       0.252	  0.975
       0.256	  0.975
       0.260	  0.975
       0.264	  0.963
       0.268	  0.950
       0.272	  0.938
       0.276	  0.925
       0.280	  0.900
       0.284	  0.887
       0.288	  0.875
       0.292	  0.850
       0.296	  0.838
       0.300	  0.825
       0.304	  0.812
       0.308	  0.800
       0.312	  0.787
       0.316	  0.762
       0.320	  0.750
       0.324	  0.750
       0.328	  0.750
       0.332	  0.738
       0.336	  0.713
       0.340	  0.713
       0.344	  0.725
       0.348	  0.738
       0.352	  0.750
       0.356	  0.775
       0.360	  0.775
       0.364	  0.775
       0.368	  0.787
       0.372	  0.787
       0.376	  0.812
       0.380	  0.825
       0.384	  0.838
       0.388	  0.825
       0.392	  0.812
       0.396	  0.800
       0.400	  0.800
       0.404	  0.787
       0.408	  0.775
       0.412	  0.775
       0.416	  0.775
       0.420	  0.775
       0.424	  0.787
       0.428	  0.775
       0.432	  0.775
       0.436	  0.775
       0.440	  0.762
       0.444	  0.787
       0.448	  0.812
       0.452	  0.850
       0.456	  0.887
       0.460	  0.925
       0.464	  0.975
       0.468	  1.100
       0.472	  1.238
       0.476	  1.413
       0.480	  1.587
       0.484	  1.750
       0.488	  1.850
       0.492	  1.887
       0.496	  1.812
       0.500	  1.613
       0.504	  1.312
       0.508	  1.000
       0.512	  0.750
       0.516	  0.625
       0.520	  0.600
       0.524	  0.650
       0.528	  0.713
       0.532	  0.775
       0.536	  0.825
       0.540	  0.863
       0.544	  0.875
       0.548	  0.887
       0.552	  0.925
       0.556	  0.938
       0.560	  0.938
       0.564	  0.925
       0.568	  0.938
       0.572	  0.938
       0.576	  0.950
       0.580	  0.950
       0.584	  0.950
       0.588	  0.925
       0.592	  0.938
       0.596	  0.925
       0.600	  0.938
       0.604	  0.925
       0.608	  0.925
       0.612	  0.938
       0.616	  0.925
       0.620	  0.925
       0.624	  0.925
       0.628	  0.938
       0.632	  0.938
       0.636	  0.938
       0.640	  0.938
       0.644	  0.950
       0.648	  0.963
       0.652	  0.975
       0.656	  0.988
       0.660	  1.000
       0.664	  1.012
       0.668	  1.038
       0.672	  1.062
       0.676	  1.100
       0.680	  1.137
       0.684	  1.175
       0.688	  1.188
       0.692	  1.188
       0.696	  1.175
       0.700	  1.188
       0.704	  1.188
       0.708	  1.200
       0.712	  1.200
       0.716	  1.200
       0.720	  1.200
       0.724	  1.200
       0.728	  1.212
       0.732	  1.212
       0.736	  1.212
       0.740	  1.212
       0.744	  1.188
       0.748	  1.175
       0.752	  1.175
       0.756	  1.175
       0.760	  1.163
       0.764	  1.150
       0.768	  1.150
       0.772	  1.163
       0.776	  1.163
       0.780	  1.150
       0.784	  1.175
       0.788	  1.188
       0.792	  1.212
       0.796	  1.225
       0.800	  1.250
       0.804	  1.288
       0.808	  1.400
       0.812	  1.575
       0.816	  1.788
       0.820	  2.000
       0.824	  2.200
       0.828	  2.312
       0.832	  2.288
       0.836	  2.100
       0.840	  1.812
       0.844	  1.450
       0.848	  1.125
       0.852	  0.912
       0.856	  0.838
       0.860	  0.850
       0.864	  0.912
       0.868	  0.963
       0.872	  0.988
       0.876	  1.000
       0.880	  1.012
       0.884	  1.038
       0.888	  1.038
       0.892	  1.038
       0.896	  1.012
       0.900	  0.975
       0.904	  0.938
       0.908	  0.975
       0.912	  0.988
       0.916	  1.000
       0.920	  0.975
       0.924	  0.950
       0.928	  0.938
       0.932	  0.925
       0.936	  0.938
       0.940	  0.950
       0.944	  0.950
       0.948	  0.950
       0.952	  0.950
       0.956	  0.938
       0.960	  0.950
       0.964	  0.925
       0.968	  0.912
       0.972	  0.925
       0.976	  0.938
       0.980	  0.950
       0.984	  0.975
       0.988	  0.988
       0.992	  0.988
       0.996	  1.012
       1.000	  1.038
       1.004	  1.062
       1.008	  1.100
       1.012	  1.137
       1.016	  1.150
       1.020	  1.137
       1.024	  1.125
       1.028	  1.137
       1.032	  1.150
       1.036	  1.175
       1.040	  1.175
       1.044	  1.175
       1.048	  1.163
       1.052	  1.163
       1.056	  1.150
       1.060	  1.150
       1.064	  1.163
       1.068	  1.163
       1.072	  1.150
       1.076	  1.150
       1.080	  1.113
       1.084	  1.113
       1.088	  1.113
       1.092	  1.125
       1.096	  1.113
       1.100	  1.100
       1.104	  1.087
       1.108	  1.100
       1.112	  1.125
       1.116	  1.125
       1.120	  1.113
       1.124	  1.100
       1.128	  1.075
       1.132	  1.075
       1.136	  1.075
       1.140	  1.075
       1.144	  1.100
       1.148	  1.150
       1.152	  1.188
       1.156	  1.200
       1.160	  1.200
       1.164	  1.200
       1.168	  1.212
       1.172	  1.238
       1.176	  1.250
       1.180	  1.250
       1.184	  1.238
       1.188	  1.238
       1.192	  1.238
       1.196	  1.250
       1.200	  1.325
       1.204	  1.425
       1.208	  1.587
       1.212	  1.837
       1.216	  2.087
       1.220	  2.325
       1.224	  2.500
       1.228	  2.538
       1.232	  2.400
       1.236	  2.112
       1.240	  1.738
       1.244	  1.375
       1.248	  1.113
       1.252	  1.025
       1.256	  1.012
       1.260	  1.062
       1.264	  1.113
       1.268	  1.150
       1.272	  1.150
       1.276	  1.175
       1.280	  1.175
       1.284	  1.188
       1.288	  1.200
       1.292	  1.200
       1.296	  1.200
       1.300	  1.200
       1.304	  1.188
       1.308	  1.175
       1.312	  1.175
       1.316	  1.163
       1.320	  1.150
       1.324	  1.137
       1.328	  1.137
       1.332	  1.113
       1.336	  1.100
       1.340	  1.100
       1.344	  1.125
       1.348	  1.125
       1.352	  1.137
       1.356	  1.150
       1.360	  1.175
       1.364	  1.188
       1.368	  1.200
       1.372	  1.175
       1.376	  1.150
       1.380	  1.100
       1.384	  1.087
       1.388	  1.087
       1.392	  1.087
       1.396	  1.100
       1.400	  1.137
       1.404	  1.150
       1.408	  1.175
       1.412	  1.175
       1.416	  1.200
       1.420	  1.212
       1.424	  1.212
       1.428	  1.175
       1.432	  1.150
       1.436	  1.125
       1.440	  1.125
       1.444	  1.125
       1.448	  1.100
       1.452	  1.100
       1.456	  1.100
       1.460	  1.100
       1.464	  1.100
       1.468	  1.100
       1.472	  1.075
       1.476	  1.050
       1.480	  1.012
       1.484	  0.988
       1.488	  0.988
       1.492	  0.988
       1.496	  1.025
       1.500	  1.050
       1.504	  1.075
       1.508	  1.075
       1.512	  1.062
       1.516	  1.062
       1.520	  1.062
       1.524	  1.075
       1.528	  1.100
       1.532	  1.125
       1.536	  1.200
       1.540	  1.275
       1.544	  1.363
       1.548	  1.488
       1.552	  1.688
       1.556	  1.938
       1.560	  2.175
       1.564	  2.362
       1.568	  2.438
       1.572	  2.362
       1.576	  2.175
       1.580	  1.837
       1.584	  1.438
       1.588	  1.062
       1.592	  0.825
       1.596	  0.713
       1.600	  0.700
       1.604	  0.725
       1.608	  0.762
       1.612	  0.762
       1.616	  0.787
       1.620	  0.838
       1.624	  0.863
       1.628	  0.875
       1.632	  0.850
       1.636	  0.838
       1.640	  0.838
       1.644	  0.850
       1.648	  0.863
       1.652	  0.875
       1.656	  0.887
       1.660	  0.863
       1.664	  0.850
       1.668	  0.850
       1.672	  0.850
       1.676	  0.863
       1.680	  0.850
       1.684	  0.838
       1.688	  0.825
       1.692	  0.850
       1.696	  0.887
       1.700	  0.950
       1.704	  0.938
       1.708	  0.887
       1.712	  0.850
       1.716	  0.838
       1.720	  0.850
       1.724	  0.900
       1.728	  0.938
       1.732	  0.938
       1.736	  0.938
       1.740	  0.950
       1.744	  0.988
       1.748	  1.038
       1.752	  1.038
       1.756	  1.038
       1.760	  1.050
       1.764	  1.025
       1.768	  1.000
       1.772	  1.012
       1.776	  1.025
       1.780	  1.038
       1.784	  1.062
       1.788	  1.075
       1.792	  1.075
       1.796	  1.062
       1.800	  1.038
