Elapsed_time	ECG
       0.000	  0.385
       0.004	  0.367
       0.008	  0.345
       0.012	  0.310
       0.016	  0.273
       0.020	  0.245
       0.024	  0.230
       0.028	  0.223
       0.032	  0.217
       0.036	  0.210
       0.040	  0.207
       0.044	  0.207
       0.048	  0.210
       0.052	  0.217
       0.056	  0.217
       0.060	  0.220
       0.064	  0.220
       0.068	  0.220
       0.072	  0.223
       0.076	  0.220
       0.080	  0.217
       0.084	  0.203
       0.088	  0.190
       0.092	  0.168
       0.096	  0.180
       0.100	  0.217
       0.104	  0.273
       0.108	  0.345
       0.112	  0.470
       0.116	  0.667
       0.120	  0.925
       0.124	  1.218
       0.128	  1.455
       0.132	  1.613
       0.136	  1.760
       0.140	  1.972
       0.144	  2.183
       0.148	  2.280
       0.152	  2.143
       0.156	  1.760
       0.160	  1.230
       0.164	  0.695
       0.168	  0.263
       0.172	 -0.035
       0.176	 -0.180
       0.180	 -0.230
       0.184	 -0.228
       0.188	 -0.207
       0.192	 -0.193
       0.196	 -0.175
       0.200	 -0.165
       0.204	 -0.158
       0.208	 -0.163
       0.212	 -0.165
       0.216	 -0.163
       0.220	 -0.155
       0.224	 -0.147
       0.228	 -0.140
       0.232	 -0.130
       0.236	 -0.120
       0.240	 -0.113
       0.244	 -0.110
       0.248	 -0.102
       0.252	 -0.100
       0.256	 -0.102
       0.260	 -0.102
       0.264	 -0.102
       0.268	 -0.102
       0.272	 -0.102
       0.276	 -0.100
       0.280	 -0.098
       0.284	 -0.098
       0.288	 -0.098
       0.292	 -0.092
       0.296	 -0.090
       0.300	 -0.083
       0.304	 -0.075
       0.308	 -0.070
       0.312	 -0.058
       0.316	 -0.048
       0.320	 -0.037
       0.324	 -0.030
       0.328	 -0.020
       0.332	  0.003
       0.336	  0.018
       0.340	  0.030
       0.344	  0.043
       0.348	  0.055
       0.352	  0.070
       0.356	  0.083
       0.360	  0.098
       0.364	  0.117
       0.368	  0.135
       0.372	  0.152
       0.376	  0.165
       0.380	  0.180
       0.384	  0.185
       0.388	  0.200
       0.392	  0.207
       0.396	  0.217
       0.400	  0.223
       0.404	  0.230
       0.408	  0.240
       0.412	  0.247
       0.416	  0.250
       0.420	  0.250
       0.424	  0.258
       0.428	  0.258
       0.432	  0.265
       0.436	  0.268
       0.440	  0.268
       0.444	  0.268
       0.448	  0.263
       0.452	  0.258
       0.456	  0.258
       0.460	  0.250
       0.464	  0.247
       0.468	  0.247
       0.472	  0.245
       0.476	  0.240
       0.480	  0.240
       0.484	  0.240
       0.488	  0.240
       0.492	  0.240
       0.496	  0.240
       0.500	  0.237
       0.504	  0.237
       0.508	  0.237
       0.512	  0.240
       0.516	  0.240
       0.520	  0.245
       0.524	  0.250
       0.528	  0.258
       0.532	  0.273
       0.536	  0.290
       0.540	  0.310
       0.544	  0.330
       0.548	  0.355
       0.552	  0.372
       0.556	  0.383
       0.560	  0.388
       0.564	  0.395
       0.568	  0.405
       0.572	  0.412
       0.576	  0.440
       0.580	  0.475
       0.584	  0.510
       0.588	  0.532
       0.592	  0.542
       0.596	  0.542
       0.600	  0.537
       0.604	  0.520
       0.608	  0.492
       0.612	  0.470
       0.616	  0.458
       0.620	  0.440
       0.624	  0.410
       0.628	  0.357
       0.632	  0.302
       0.636	  0.263
       0.640	  0.237
       0.644	  0.228
       0.648	  0.220
       0.652	  0.217
       0.656	  0.217
       0.660	  0.217
       0.664	  0.217
       0.668	  0.212
       0.672	  0.212
       0.676	  0.223
       0.680	  0.237
       0.684	  0.245
       0.688	  0.245
       0.692	  0.237
       0.696	  0.228
       0.700	  0.200
       0.704	  0.168
       0.708	  0.135
       0.712	  0.128
       0.716	  0.165
       0.720	  0.220
       0.724	  0.290
       0.728	  0.410
       0.732	  0.605
       0.736	  0.868
       0.740	  1.163
       0.744	  1.417
       0.748	  1.587
