Elapsed_time	ECG
       0.000	  0.395
       0.004	  0.357
       0.008	  0.320
       0.012	  0.295
       0.016	  0.275
       0.020	  0.258
       0.024	  0.237
       0.028	  0.237
       0.032	  0.225
       0.036	  0.233
       0.040	  0.225
       0.044	  0.220
       0.048	  0.220
       0.052	  0.207
       0.056	  0.200
       0.060	  0.195
       0.064	  0.195
       0.068	  0.188
       0.072	  0.188
       0.076	  0.188
       0.080	  0.188
       0.084	  0.195
       0.088	  0.212
       0.092	  0.258
       0.096	  0.333
       0.100	  0.438
       0.104	  0.570
       0.108	  0.700
       0.112	  0.863
       0.116	  1.038
       0.120	  1.245
       0.124	  1.450
       0.128	  1.625
       0.132	  1.782
       0.136	  1.913
       0.140	  2.020
       0.144	  2.120
       0.148	  2.188
       0.152	  2.232
       0.156	  2.275
       0.160	  2.333
       0.164	  2.388
       0.168	  2.413
       0.172	  2.408
       0.176	  2.345
       0.180	  2.245
       0.184	  2.125
       0.188	  2.000
       0.192	  1.857
       0.196	  1.700
       0.200	  1.538
       0.204	  1.383
       0.208	  1.212
       0.212	  1.038
       0.216	  0.825
       0.220	  0.595
       0.224	  0.333
       0.228	  0.083
       0.232	 -0.163
       0.236	 -0.357
       0.240	 -0.507
       0.244	 -0.595
       0.248	 -0.632
       0.252	 -0.650
       0.256	 -0.670
       0.260	 -0.700
       0.264	 -0.745
       0.268	 -0.800
       0.272	 -0.870
       0.276	 -0.925
       0.280	 -0.970
       0.284	 -0.995
       0.288	 -1.000
       0.292	 -1.008
       0.296	 -1.008
       0.300	 -1.012
       0.304	 -1.020
       0.308	 -1.025
       0.312	 -1.032
       0.316	 -1.045
       0.320	 -1.050
       0.324	 -1.058
       0.328	 -1.070
       0.332	 -1.075
       0.336	 -1.087
       0.340	 -1.100
       0.344	 -1.107
       0.348	 -1.113
       0.352	 -1.120
       0.356	 -1.125
       0.360	 -1.125
       0.364	 -1.113
       0.368	 -1.120
       0.372	 -1.113
       0.376	 -1.095
       0.380	 -1.075
       0.384	 -1.062
       0.388	 -1.032
       0.392	 -1.000
       0.396	 -0.958
       0.400	 -0.907
       0.404	 -0.850
       0.408	 -0.800
       0.412	 -0.745
       0.416	 -0.682
       0.420	 -0.620
       0.424	 -0.550
       0.428	 -0.470
       0.432	 -0.395
       0.436	 -0.312
       0.440	 -0.237
       0.444	 -0.163
       0.448	 -0.100
       0.452	 -0.025
       0.456	  0.058
       0.460	  0.120
       0.464	  0.170
       0.468	  0.220
       0.472	  0.270
       0.476	  0.307
       0.480	  0.345
       0.484	  0.370
       0.488	  0.395
       0.492	  0.400
       0.496	  0.420
       0.500	  0.438
       0.504	  0.445
       0.508	  0.445
       0.512	  0.445
       0.516	  0.432
       0.520	  0.425
       0.524	  0.407
       0.528	  0.395
       0.532	  0.388
       0.536	  0.375
       0.540	  0.370
       0.544	  0.362
       0.548	  0.350
       0.552	  0.345
       0.556	  0.325
       0.560	  0.312
       0.564	  0.307
       0.568	  0.295
       0.572	  0.295
       0.576	  0.287
       0.580	  0.287
       0.584	  0.275
       0.588	  0.270
       0.592	  0.258
       0.596	  0.258
       0.600	  0.263
       0.604	  0.287
       0.608	  0.307
       0.612	  0.345
       0.616	  0.388
       0.620	  0.445
       0.624	  0.495
       0.628	  0.545
       0.632	  0.608
       0.636	  0.675
       0.640	  0.738
       0.644	  0.782
       0.648	  0.812
       0.652	  0.807
       0.656	  0.795
       0.660	  0.770
       0.664	  0.713
       0.668	  0.625
       0.672	  0.537
       0.676	  0.445
       0.680	  0.425
       0.684	  0.450
       0.688	  0.500
       0.692	  0.520
       0.696	  0.500
       0.700	  0.470
       0.704	  0.463
       0.708	  0.475
       0.712	  0.512
       0.716	  0.557
       0.720	  0.600
       0.724	  0.650
       0.728	  0.682
       0.732	  0.625
       0.736	  0.495
       0.740	  0.312
       0.744	  0.133
       0.748	  0.000
       0.752	 -0.107
       0.756	 -0.170
       0.760	 -0.200
       0.764	 -0.233
       0.768	 -0.250
       0.772	 -0.263
       0.776	 -0.275
       0.780	 -0.282
       0.784	 -0.295
       0.788	 -0.300
       0.792	 -0.300
       0.796	 -0.307
       0.800	 -0.307
       0.804	 -0.300
       0.808	 -0.300
       0.812	 -0.282
       0.816	 -0.282
       0.820	 -0.263
       0.824	 -0.250
       0.828	 -0.237
       0.832	 -0.225
       0.836	 -0.200
       0.840	 -0.188
       0.844	 -0.163
       0.848	 -0.145
       0.852	 -0.125
       0.856	 -0.100
       0.860	 -0.070
       0.864	 -0.037
       0.868	  0.007
       0.872	  0.037
       0.876	  0.075
       0.880	  0.107
       0.884	  0.138
       0.888	  0.175
       0.892	  0.200
       0.896	  0.225
       0.900	  0.258
       0.904	  0.295
       0.908	  0.320
       0.912	  0.357
       0.916	  0.375
       0.920	  0.407
       0.924	  0.420
       0.928	  0.438
       0.932	  0.450
       0.936	  0.463
       0.940	  0.475
       0.944	  0.487
       0.948	  0.495
       0.952	  0.495
       0.956	  0.495
       0.960	  0.500
       0.964	  0.495
       0.968	  0.487
       0.972	  0.475
       0.976	  0.463
       0.980	  0.450
       0.984	  0.432
       0.988	  0.425
       0.992	  0.412
       0.996	  0.395
       1.000	  0.383
       1.004	  0.375
       1.008	  0.357
       1.012	  0.350
       1.016	  0.338
       1.020	  0.325
       1.024	  0.307
       1.028	  0.300
       1.032	  0.295
       1.036	  0.295
       1.040	  0.287
       1.044	  0.275
       1.048	  0.270
       1.052	  0.270
       1.056	  0.258
       1.060	  0.258
       1.064	  0.250
       1.068	  0.245
       1.072	  0.245
       1.076	  0.237
       1.080	  0.225
       1.084	  0.225
       1.088	  0.225
       1.092	  0.225
       1.096	  0.225
       1.100	  0.233
       1.104	  0.233
       1.108	  0.225
       1.112	  0.225
       1.116	  0.212
       1.120	  0.212
       1.124	  0.207
       1.128	  0.207
       1.132	  0.212
       1.136	  0.220
       1.140	  0.212
       1.144	  0.212
       1.148	  0.220
       1.152	  0.220
       1.156	  0.220
       1.160	  0.220
       1.164	  0.212
       1.168	  0.200
       1.172	  0.207
       1.176	  0.212
       1.180	  0.220
       1.184	  0.212
       1.188	  0.212
       1.192	  0.220
       1.196	  0.220
       1.200	  0.212
       1.204	  0.220
       1.208	  0.207
       1.212	  0.200
       1.216	  0.195
       1.220	  0.200
       1.224	  0.200
       1.228	  0.200
       1.232	  0.195
       1.236	  0.200
       1.240	  0.195
       1.244	  0.200
       1.248	  0.200
       1.252	  0.195
       1.256	  0.195
       1.260	  0.195
       1.264	  0.195
       1.268	  0.188
       1.272	  0.188
       1.276	  0.188
       1.280	  0.188
       1.284	  0.188
       1.288	  0.188
       1.292	  0.188
       1.296	  0.188
       1.300	  0.182
       1.304	  0.188
       1.308	  0.182
       1.312	  0.188
       1.316	  0.188
       1.320	  0.195
       1.324	  0.195
       1.328	  0.195
       1.332	  0.195
       1.336	  0.195
       1.340	  0.200
       1.344	  0.200
       1.348	  0.195
       1.352	  0.200
       1.356	  0.200
       1.360	  0.207
       1.364	  0.200
       1.368	  0.200
       1.372	  0.200
       1.376	  0.212
       1.380	  0.225
       1.384	  0.237
       1.388	  0.258
       1.392	  0.275
       1.396	  0.295
       1.400	  0.300
       1.404	  0.312
       1.408	  0.312
       1.412	  0.320
       1.416	  0.325
       1.420	  0.357
       1.424	  0.400
       1.428	  0.445
       1.432	  0.482
       1.436	  0.512
       1.440	  0.532
       1.444	  0.550
       1.448	  0.557
       1.452	  0.550
       1.456	  0.537
       1.460	  0.500
       1.464	  0.470
       1.468	  0.432
       1.472	  0.375
       1.476	  0.338
       1.480	  0.300
       1.484	  0.275
       1.488	  0.250
       1.492	  0.233
       1.496	  0.212
       1.500	  0.195
       1.504	  0.188
       1.508	  0.170
       1.512	  0.170
       1.516	  0.158
       1.520	  0.150
       1.524	  0.145
       1.528	  0.133
       1.532	  0.125
       1.536	  0.120
       1.540	  0.113
       1.544	  0.113
       1.548	  0.107
       1.552	  0.107
       1.556	  0.107
       1.560	  0.125
       1.564	  0.163
       1.568	  0.212
       1.572	  0.300
       1.576	  0.420
       1.580	  0.557
       1.584	  0.713
       1.588	  0.887
       1.592	  1.087
       1.596	  1.300
       1.600	  1.495
       1.604	  1.663
       1.608	  1.800
       1.612	  1.900
       1.616	  1.988
       1.620	  2.062
       1.624	  2.112
       1.628	  2.158
       1.632	  2.212
       1.636	  2.275
       1.640	  2.320
       1.644	  2.333
       1.648	  2.295
       1.652	  2.212
       1.656	  2.095
       1.660	  1.962
       1.664	  1.820
       1.668	  1.645
       1.672	  1.475
       1.676	  1.300
       1.680	  1.145
       1.684	  0.988
       1.688	  0.833
       1.692	  0.632
       1.696	  0.412
       1.700	  0.163
       1.704	 -0.100
       1.708	 -0.307
       1.712	 -0.475
       1.716	 -0.600
       1.720	 -0.662
       1.724	 -0.695
       1.728	 -0.708
       1.732	 -0.733
       1.736	 -0.762
       1.740	 -0.820
       1.744	 -0.882
       1.748	 -0.945
       1.752	 -1.008
       1.756	 -1.038
       1.760	 -1.050
       1.764	 -1.058
       1.768	 -1.058
       1.772	 -1.058
       1.776	 -1.062
       1.780	 -1.062
       1.784	 -1.070
       1.788	 -1.070
       1.792	 -1.075
       1.796	 -1.083
       1.800	 -1.095
       1.804	 -1.095
       1.808	 -1.100
       1.812	 -1.113
       1.816	 -1.113
       1.820	 -1.120
       1.824	 -1.125
       1.828	 -1.125
       1.832	 -1.133
       1.836	 -1.125
       1.840	 -1.125
       1.844	 -1.113
       1.848	 -1.113
       1.852	 -1.107
       1.856	 -1.100
       1.860	 -1.083
       1.864	 -1.058
       1.868	 -1.032
       1.872	 -1.008
       1.876	 -0.975
       1.880	 -0.938
       1.884	 -0.900
       1.888	 -0.850
       1.892	 -0.795
       1.896	 -0.733
       1.900	 -0.670
       1.904	 -0.600
       1.908	 -0.537
       1.912	 -0.470
       1.916	 -0.407
       1.920	 -0.333
       1.924	 -0.270
       1.928	 -0.195
       1.932	 -0.125
       1.936	 -0.062
       1.940	  0.013
       1.944	  0.075
       1.948	  0.133
       1.952	  0.188
       1.956	  0.233
       1.960	  0.275
       1.964	  0.307
       1.968	  0.345
       1.972	  0.370
       1.976	  0.395
       1.980	  0.412
       1.984	  0.425
       1.988	  0.438
       1.992	  0.450
       1.996	  0.463
       2.000	  0.470
       2.004	  0.470
       2.008	  0.463
       2.012	  0.458
       2.016	  0.450
       2.020	  0.445
       2.024	  0.438
       2.028	  0.432
       2.032	  0.412
       2.036	  0.395
       2.040	  0.375
       2.044	  0.357
       2.048	  0.345
       2.052	  0.325
       2.056	  0.320
       2.060	  0.312
       2.064	  0.295
       2.068	  0.275
       2.072	  0.270
       2.076	  0.250
       2.080	  0.245
       2.084	  0.237
       2.088	  0.225
       2.092	  0.220
       2.096	  0.207
       2.100	  0.200
       2.104	  0.195
       2.108	  0.188
       2.112	  0.182
       2.116	  0.188
       2.120	  0.195
       2.124	  0.207
       2.128	  0.220
       2.132	  0.225
       2.136	  0.245
       2.140	  0.237
       2.144	  0.245
       2.148	  0.258
       2.152	  0.275
       2.156	  0.300
       2.160	  0.345
       2.164	  0.388
       2.168	  0.420
       2.172	  0.450
       2.176	  0.475
       2.180	  0.495
       2.184	  0.512
       2.188	  0.525
       2.192	  0.520
       2.196	  0.512
       2.200	  0.482
       2.204	  0.450
       2.208	  0.407
       2.212	  0.375
       2.216	  0.333
       2.220	  0.300
       2.224	  0.275
       2.228	  0.258
       2.232	  0.245
       2.236	  0.233
       2.240	  0.225
       2.244	  0.225
       2.248	  0.220
       2.252	  0.220
       2.256	  0.200
       2.260	  0.188
       2.264	  0.175
       2.268	  0.170
       2.272	  0.170
       2.276	  0.163
       2.280	  0.163
       2.284	  0.150
       2.288	  0.150
       2.292	  0.158
       2.296	  0.170
       2.300	  0.175
       2.304	  0.212
       2.308	  0.282
       2.312	  0.383
       2.316	  0.512
       2.320	  0.657
       2.324	  0.812
       2.328	  0.995
       2.332	  1.195
       2.336	  1.407
       2.340	  1.595
       2.344	  1.750
       2.348	  1.883
       2.352	  1.995
       2.356	  2.075
       2.360	  2.150
       2.364	  2.200
       2.368	  2.245
       2.372	  2.312
       2.376	  2.375
       2.380	  2.425
       2.384	  2.425
       2.388	  2.388
       2.392	  2.300
       2.396	  2.188
       2.400	  2.070
       2.404	  1.920
       2.408	  1.762
       2.412	  1.600
       2.416	  1.450
       2.420	  1.288
       2.424	  1.107
       2.428	  0.900
       2.432	  0.657
       2.436	  0.400
       2.440	  0.138
       2.444	 -0.120
       2.448	 -0.325
       2.452	 -0.495
       2.456	 -0.600
       2.460	 -0.637
       2.464	 -0.657
       2.468	 -0.675
       2.472	 -0.700
       2.476	 -0.738
       2.480	 -0.795
       2.484	 -0.863
       2.488	 -0.925
       2.492	 -0.963
       2.496	 -0.988
       2.500	 -1.008
       2.504	 -1.008
       2.508	 -1.012
       2.512	 -1.020
       2.516	 -1.032
       2.520	 -1.032
       2.524	 -1.045
       2.528	 -1.050
       2.532	 -1.058
       2.536	 -1.062
       2.540	 -1.075
       2.544	 -1.087
       2.548	 -1.100
       2.552	 -1.113
       2.556	 -1.120
       2.560	 -1.120
       2.564	 -1.125
       2.568	 -1.133
       2.572	 -1.137
       2.576	 -1.137
       2.580	 -1.133
       2.584	 -1.125
       2.588	 -1.113
       2.592	 -1.100
       2.596	 -1.083
       2.600	 -1.058
       2.604	 -1.025
       2.608	 -0.988
