   Elapsed_time	ECG
       0.000	 -0.048
       0.004	 -0.052
       0.008	 -0.045
       0.012	 -0.048
       0.016	 -0.040
       0.020	 -0.048
       0.024	 -0.045
       0.028	 -0.050
       0.032	 -0.058
       0.036	 -0.060
       0.040	 -0.048
       0.044	 -0.048
       0.048	 -0.048
       0.052	 -0.050
       0.056	 -0.048
       0.060	 -0.050
       0.064	 -0.050
       0.068	 -0.052
       0.072	 -0.058
       0.076	 -0.048
       0.080	 -0.050
       0.084	 -0.048
       0.088	 -0.050
       0.092	 -0.037
       0.096	 -0.040
       0.100	 -0.037
       0.104	 -0.045
       0.108	 -0.040
       0.112	 -0.045
       0.116	 -0.037
       0.120	 -0.037
       0.124	 -0.035
       0.128	 -0.035
       0.132	 -0.037
       0.136	 -0.048
       0.140	 -0.050
       0.144	 -0.052
       0.148	 -0.048
       0.152	 -0.048
       0.156	 -0.045
       0.160	 -0.045
       0.164	 -0.050
       0.168	 -0.050
       0.172	 -0.045
       0.176	 -0.037
       0.180	 -0.040
       0.184	 -0.040
       0.188	 -0.045
       0.192	 -0.037
       0.196	 -0.048
       0.200	 -0.048
       0.204	 -0.060
       0.208	 -0.060
       0.212	 -0.070
       0.216	 -0.070
       0.220	 -0.077
       0.224	 -0.075
       0.228	 -0.065
       0.232	 -0.052
       0.236	 -0.058
       0.240	 -0.050
       0.244	 -0.045
       0.248	 -0.040
       0.252	 -0.033
       0.256	 -0.015
       0.260	  0.007
       0.264	  0.015
       0.268	  0.033
       0.272	  0.035
       0.276	  0.003
       0.280	 -0.075
       0.284	 -0.113
       0.288	 -0.138
       0.292	 -0.140
       0.296	 -0.140
       0.300	 -0.128
       0.304	 -0.135
       0.308	 -0.133
       0.312	 -0.133
       0.316	 -0.120
       0.320	 -0.122
       0.324	 -0.107
       0.328	 -0.102
       0.332	 -0.100
       0.336	 -0.110
       0.340	 -0.100
       0.344	 -0.090
       0.348	 -0.083
       0.352	 -0.077
       0.356	 -0.072
       0.360	 -0.052
       0.364	 -0.048
       0.368	 -0.037
       0.372	  0.003
       0.376	  0.052
       0.380	  0.120
       0.384	  0.263
       0.388	  0.502
       0.392	  0.815
       0.396	  1.052
       0.400	  1.110
       0.404	  0.885
       0.408	  0.385
       0.412	 -0.185
       0.416	 -0.552
       0.420	 -0.740
       0.424	 -0.725
       0.428	 -0.578
       0.432	 -0.435
       0.436	 -0.320
       0.440	 -0.225
       0.444	 -0.172
       0.448	 -0.140
       0.452	 -0.125
       0.456	 -0.110
       0.460	 -0.100
       0.464	 -0.090
       0.468	 -0.085
       0.472	 -0.077
       0.476	 -0.060
       0.480	 -0.045
       0.484	 -0.028
       0.488	 -0.020
       0.492	  0.015
       0.496	  0.013
       0.500	  0.022
       0.504	  0.022
       0.508	  0.037
       0.512	  0.035
       0.516	  0.040
       0.520	  0.037
       0.524	  0.052
       0.528	  0.058
       0.532	  0.052
       0.536	  0.048
       0.540	  0.062
       0.544	  0.062
       0.548	  0.062
       0.552	  0.060
       0.556	  0.060
       0.560	  0.050
       0.564	  0.045
       0.568	  0.045
       0.572	  0.037
       0.576	  0.022
       0.580	 -0.037
       0.584	 -0.028
       0.588	 -0.015
       0.592	  0.020
       0.596	  0.028
       0.600	  0.037
       0.604	  0.025
       0.608	  0.025
       0.612	  0.022
       0.616	  0.028
       0.620	  0.013
       0.624	  0.015
       0.628	  0.020
       0.632	  0.025
       0.636	  0.020
       0.640	  0.022
       0.644	  0.028
       0.648	  0.037
       0.652	  0.040
       0.656	  0.052
       0.660	  0.065
       0.664	  0.077
       0.668	  0.100
       0.672	  0.133
       0.676	  0.165
       0.680	  0.188
       0.684	  0.223
       0.688	  0.250
       0.692	  0.295
       0.696	  0.320
       0.700	  0.350
       0.704	  0.372
       0.708	  0.410
       0.712	  0.427
       0.716	  0.450
       0.720	  0.458
       0.724	  0.472
       0.728	  0.475
       0.732	  0.475
       0.736	  0.472
       0.740	  0.470
       0.744	  0.445
       0.748	  0.427
       0.752	  0.398
       0.756	  0.365
       0.760	  0.347
       0.764	  0.310
       0.768	  0.270
       0.772	  0.228
       0.776	  0.207
       0.780	  0.185
       0.784	  0.170
       0.788	  0.145
       0.792	  0.133
       0.796	  0.110
       0.800	  0.107
       0.804	  0.095
       0.808	  0.098
       0.812	  0.087
       0.816	  0.083
       0.820	  0.058
       0.824	  0.052
       0.828	  0.048
       0.832	  0.048
       0.836	  0.050
       0.840	  0.060
       0.844	  0.052
       0.848	  0.048
       0.852	  0.040
       0.856	  0.037
       0.860	  0.037
       0.864	  0.033
       0.868	  0.025
       0.872	  0.028
       0.876	  0.040
       0.880	  0.037
       0.884	  0.048
       0.888	  0.048
       0.892	  0.048
       0.896	  0.025
       0.900	  0.025
       0.904	  0.020
       0.908	  0.022
       0.912	  0.022
       0.916	  0.033
       0.920	  0.022
       0.924	  0.037
       0.928	  0.035
       0.932	  0.033
       0.936	  0.022
       0.940	  0.025
       0.944	  0.022
       0.948	  0.028
       0.952	  0.025
       0.956	  0.022
       0.960	  0.015
       0.964	  0.010
       0.968	  0.010
       0.972	  0.010
       0.976	  0.010
       0.980	  0.000
       0.984	  0.000
       0.988	  0.003
       0.992	  0.015
       0.996	  0.010
       1.000	  0.013
       1.004	  0.003
       1.008	  0.015
       1.012	  0.013
       1.016	  0.020
       1.020	  0.015
       1.024	  0.025
       1.028	  0.025
       1.032	  0.033
       1.036	  0.028
