Elapsed_time	ECG
      0.000	 -4.890
      0.004	 -4.875
      0.008	 -4.835
      0.012	 -4.805
      0.016	 -4.800
      0.020	 -4.785
      0.024	 -4.780
      0.028	 -4.745
      0.032	 -4.745
      0.036	 -4.725
      0.040	 -4.715
      0.044	 -4.695
      0.048	 -4.690
      0.052	 -4.690
      0.056	 -4.700
      0.060	 -4.695
      0.064	 -4.700
      0.068	 -4.660
      0.072	 -4.630
      0.076	 -4.645
      0.080	 -4.680
      0.084	 -4.730
      0.088	 -4.765
      0.092	 -4.780
      0.096	 -4.785
      0.100	 -4.805
      0.104	 -4.805
      0.108	 -4.795
      0.112	 -4.775
      0.116	 -4.815
      0.120	 -4.805
      0.124	 -4.815
      0.128	 -4.800
      0.132	 -4.775
      0.136	 -4.765
      0.140	 -4.790
      0.144	 -4.770
      0.148	 -4.790
      0.152	 -4.775
      0.156	 -4.800
      0.160	 -4.790
      0.164	 -4.815
      0.168	 -4.785
      0.172	 -4.755
      0.176	 -4.750
      0.180	 -4.755
      0.184	 -4.765
      0.188	 -4.790
      0.192	 -4.800
      0.196	 -4.825
      0.200	 -4.830
      0.204	 -4.835
      0.208	 -4.840
      0.212	 -4.830
      0.216	 -4.835
      0.220	 -4.855
      0.224	 -4.875
      0.228	 -4.870
      0.232	 -4.880
      0.236	 -4.875
      0.240	 -4.865
      0.244	 -4.885
      0.248	 -4.900
      0.252	 -4.925
      0.256	 -4.955
      0.260	 -5.005
      0.264	 -5.025
      0.268	 -5.035
      0.272	 -5.040
      0.276	 -5.055
      0.280	 -5.100
      0.284	 -5.115
      0.288	 -5.135
      0.292	 -5.160
      0.296	 -5.190
      0.300	 -5.210
      0.304	 -5.215
      0.308	 -5.200
      0.312	 -5.240
      0.316	 -5.275
      0.320	 -5.305
      0.324	 -5.330
      0.328	 -5.340
      0.332	 -5.370
      0.336	 -5.375
      0.340	 -5.355
      0.344	 -5.360
      0.348	 -5.355
      0.352	 -5.380
      0.356	 -5.370
      0.360	 -5.385
      0.364	 -5.360
      0.368	 -5.335
      0.372	 -5.295
      0.376	 -5.270
      0.380	 -5.265
      0.384	 -5.255
      0.388	 -5.270
      0.392	 -5.260
      0.396	 -5.260
      0.400	 -5.265
      0.404	 -5.220
      0.408	 -5.190
      0.412	 -5.190
      0.416	 -5.165
      0.420	 -5.125
      0.424	 -5.105
      0.428	 -5.070
      0.432	 -5.030
      0.436	 -5.005
      0.440	 -4.955
      0.444	 -4.935
      0.448	 -4.925
      0.452	 -4.930
      0.456	 -4.940
      0.460	 -4.945
      0.464	 -4.945
      0.468	 -4.945
      0.472	 -4.955
      0.476	 -4.945
      0.480	 -4.970
      0.484	 -4.995
      0.488	 -5.040
      0.492	 -5.045
      0.496	 -5.075
      0.500	 -5.075
      0.504	 -5.055
      0.508	 -5.040
      0.512	 -5.065
      0.516	 -5.075
      0.520	 -5.105
      0.524	 -5.145
      0.528	 -5.145
      0.532	 -5.150
      0.536	 -5.140
      0.540	 -5.130
      0.544	 -5.090
      0.548	 -5.095
      0.552	 -5.080
      0.556	 -5.125
      0.560	 -5.145
      0.564	 -5.130
      0.568	 -5.095
      0.572	 -5.055
      0.576	 -5.075
      0.580	 -5.060
      0.584	 -5.055
      0.588	 -5.105
      0.592	 -5.115
      0.596	 -5.125
      0.600	 -5.105
      0.604	 -5.110
      0.608	 -5.085
      0.612	 -5.075
      0.616	 -5.075
      0.620	 -5.095
      0.624	 -5.100
      0.628	 -5.065
      0.632	 -5.040
      0.636	 -5.010
      0.640	 -4.975
      0.644	 -4.955
      0.648	 -4.930
      0.652	 -4.940
      0.656	 -4.935
      0.660	 -4.940
      0.664	 -4.920
      0.668	 -4.905
      0.672	 -4.885
      0.676	 -4.880
      0.680	 -4.880
      0.684	 -4.870
      0.688	 -4.905
      0.692	 -4.905
      0.696	 -4.915
      0.700	 -4.930
      0.704	 -4.915
      0.708	 -4.940
      0.712	 -4.965
      0.716	 -4.990
      0.720	 -5.010
      0.724	 -5.040
      0.728	 -5.075
      0.732	 -5.080
      0.736	 -5.080
      0.740	 -5.035
      0.744	 -5.050
      0.748	 -5.075
      0.752	 -5.080
      0.756	 -5.090
      0.760	 -5.100
      0.764	 -5.095
      0.768	 -5.095
      0.772	 -5.050
      0.776	 -5.070
      0.780	 -5.100
      0.784	 -5.090
      0.788	 -5.130
      0.792	 -5.140
      0.796	 -5.135
      0.800	 -5.130
      0.804	 -5.135
      0.808	 -5.120
      0.812	 -5.120
      0.816	 -5.125
      0.820	 -5.120
      0.824	 -5.130
      0.828	 -5.160
      0.832	 -5.160
      0.836	 -5.130
      0.840	 -5.105
      0.844	 -5.060
      0.848	 -5.055
      0.852	 -5.060
      0.856	 -5.070
      0.860	 -5.070
      0.864	 -5.050
      0.868	 -5.015
      0.872	 -4.975
      0.876	 -4.920
      0.880	 -4.915
      0.884	 -4.910
      0.888	 -4.930
      0.892	 -4.950
      0.896	 -4.935
      0.900	 -4.925
      0.904	 -4.950
      0.908	 -4.930
      0.912	 -4.940
      0.916	 -4.980
      0.920	 -5.005
      0.924	 -5.050
      0.928	 -5.055
      0.932	 -5.065
      0.936	 -5.080
      0.940	 -5.060
      0.944	 -5.090
      0.948	 -5.125
      0.952	 -5.155
      0.956	 -5.195
      0.960	 -5.230
      0.964	 -5.245
      0.968	 -5.250
      0.972	 -5.260
      0.976	 -5.265
      0.980	 -5.275
      0.984	 -5.310
      0.988	 -5.320
      0.992	 -5.330
      0.996	 -5.345
      1.000	 -5.350
      1.004	 -5.325
      1.008	 -5.315
      1.012	 -5.300
      1.016	 -5.310
      1.020	 -5.310
      1.024	 -5.330
      1.028	 -5.325
      1.032	 -5.320
      1.036	 -5.290
      1.040	 -5.250
      1.044	 -5.240
      1.048	 -5.245
      1.052	 -5.250
      1.056	 -5.250
      1.060	 -5.240
      1.064	 -5.240
      1.068	 -5.200
      1.072	 -5.215
      1.076	 -5.185
      1.080	 -5.195
      1.084	 -5.195
      1.088	 -5.185
      1.092	 -5.160
      1.096	 -5.140
      1.100	 -5.100
      1.104	 -5.040
      1.108	 -5.005
      1.112	 -4.955
      1.116	 -4.950
      1.120	 -4.935
      1.124	 -4.935
      1.128	 -4.920
      1.132	 -4.885
      1.136	 -4.845
      1.140	 -4.815
      1.144	 -4.790
      1.148	 -4.820
      1.152	 -4.810
      1.156	 -4.795
      1.160	 -4.810
      1.164	 -4.785
      1.168	 -4.785
      1.172	 -4.780
      1.176	 -4.785
      1.180	 -4.845
      1.184	 -4.875
      1.188	 -4.910
      1.192	 -4.940
      1.196	 -4.940
      1.200	 -4.965
      1.204	 -4.975
      1.208	 -5.005
      1.212	 -5.015
      1.216	 -5.035
      1.220	 -5.055
      1.224	 -5.075
      1.228	 -5.065
      1.232	 -5.050
      1.236	 -5.030
      1.240	 -5.000
      1.244	 -4.970
      1.248	 -5.000
      1.252	 -4.980
      1.256	 -4.985
      1.260	 -5.020
      1.264	 -5.010
      1.268	 -5.000
      1.272	 -4.945
      1.276	 -4.955
      1.280	 -4.945
      1.284	 -4.955
      1.288	 -5.005
      1.292	 -5.035
      1.296	 -5.045
      1.300	 -5.045
      1.304	 -5.060
      1.308	 -5.065
      1.312	 -5.100
      1.316	 -5.125
      1.320	 -5.120
      1.324	 -5.145
      1.328	 -5.160
      1.332	 -5.145
      1.336	 -5.145
      1.340	 -5.130
      1.344	 -5.120
      1.348	 -5.135
      1.352	 -5.145
      1.356	 -5.135
      1.360	 -5.145
      1.364	 -5.130
      1.368	 -5.100
      1.372	 -5.105
      1.376	 -5.095
      1.380	 -5.105
      1.384	 -5.135
      1.388	 -5.175
      1.392	 -5.200
      1.396	 -5.235
      1.400	 -5.260
      1.404	 -5.255
      1.408	 -5.260
      1.412	 -5.290
      1.416	 -5.290
      1.420	 -5.310
      1.424	 -5.330
      1.428	 -5.335
      1.432	 -5.330
      1.436	 -5.310
      1.440	 -5.275
      1.444	 -5.240
      1.448	 -5.240
      1.452	 -5.275
      1.456	 -5.280
      1.460	 -5.260
      1.464	 -5.260
      1.468	 -5.255
      1.472	 -5.215
      1.476	 -5.185
      1.480	 -5.185
      1.484	 -5.180
      1.488	 -5.200
      1.492	 -5.210
      1.496	 -5.200
      1.500	 -5.205
      1.504	 -5.220
      1.508	 -5.230
      1.512	 -5.245
      1.516	 -5.260
      1.520	 -5.280
      1.524	 -5.310
      1.528	 -5.305
      1.532	 -5.315
      1.536	 -5.290
      1.540	 -5.280
      1.544	 -5.265
      1.548	 -5.245
      1.552	 -5.250
      1.556	 -5.250
      1.560	 -5.255
      1.564	 -5.270
      1.568	 -5.265
      1.572	 -5.265
      1.576	 -5.280
      1.580	 -5.300
      1.584	 -5.310
      1.588	 -5.330
      1.592	 -5.360
      1.596	 -5.400
      1.600	 -5.415
      1.604	 -5.410
      1.608	 -5.430
      1.612	 -5.470
      1.616	 -5.500
      1.620	 -5.540
      1.624	 -5.585
      1.628	 -5.605
      1.632	 -5.610
      1.636	 -5.610
      1.640	 -5.580
      1.644	 -5.575
      1.648	 -5.560
      1.652	 -5.580
      1.656	 -5.590
      1.660	 -5.575
      1.664	 -5.560
      1.668	 -5.555
      1.672	 -5.515
      1.676	 -5.515
      1.680	 -5.485
      1.684	 -5.505
      1.688	 -5.510
      1.692	 -5.520
      1.696	 -5.525
      1.700	 -5.495
      1.704	 -5.490
      1.708	 -5.485
      1.712	 -5.520
      1.716	 -5.515
      1.720	 -5.510
      1.724	 -5.530
      1.728	 -5.510
      1.732	 -5.470
      1.736	 -5.465
      1.740	 -5.420
      1.744	 -5.400
      1.748	 -5.415
      1.752	 -5.400
      1.756	 -5.415
      1.760	 -5.405
      1.764	 -5.415
      1.768	 -5.395
      1.772	 -5.395
      1.776	 -5.375
      1.780	 -5.385
      1.784	 -5.365
      1.788	 -5.375
      1.792	 -5.375
      1.796	 -5.375
      1.800	 -5.375
      1.804	 -5.345
      1.808	 -5.335
      1.812	 -5.315
      1.816	 -5.320
      1.820	 -5.300
      1.824	 -5.315
      1.828	 -5.280
      1.832	 -5.310
      1.836	 -5.265
      1.840	 -5.295
      1.844	 -5.280
      1.848	 -5.290
      1.852	 -5.325
      1.856	 -5.365
      1.860	 -5.390
      1.864	 -5.450
      1.868	 -5.430
      1.872	 -5.420
      1.876	 -5.380
      1.880	 -5.370
      1.884	 -5.365
      1.888	 -5.400
      1.892	 -5.425
      1.896	 -5.440
      1.900	 -5.435
      1.904	 -5.425
      1.908	 -5.405
      1.912	 -5.435
      1.916	 -5.440
      1.920	 -5.480
      1.924	 -5.505
      1.928	 -5.535
      1.932	 -5.565
      1.936	 -5.595
      1.940	 -5.605
      1.944	 -5.595
      1.948	 -5.620
      1.952	 -5.640
      1.956	 -5.685
      1.960	 -5.685
      1.964	 -5.660
      1.968	 -5.650
      1.972	 -5.610
      1.976	 -5.595
      1.980	 -5.605
      1.984	 -5.600
      1.988	 -5.630
      1.992	 -5.620
      1.996	 -5.625
      2.000	 -5.605
      2.004	 -5.570
      2.008	 -5.580
      2.012	 -5.570
      2.016	 -5.545
      2.020	 -5.550
      2.024	 -5.570
      2.028	 -5.555
      2.032	 -5.560
      2.036	 -5.560
      2.040	 -5.555
      2.044	 -5.550
      2.048	 -5.580
      2.052	 -5.570
      2.056	 -5.585
      2.060	 -5.590
      2.064	 -5.600
      2.068	 -5.625
      2.072	 -5.605
      2.076	 -5.600
      2.080	 -5.610
      2.084	 -5.620
      2.088	 -5.605
      2.092	 -5.635
      2.096	 -5.610
      2.100	 -5.610
      2.104	 -5.575
      2.108	 -5.555
      2.112	 -5.550
      2.116	 -5.540
      2.120	 -5.525
      2.124	 -5.540
      2.128	 -5.530
      2.132	 -5.505
      2.136	 -5.485
      2.140	 -5.440
      2.144	 -5.435
      2.148	 -5.425
      2.152	 -5.425
      2.156	 -5.455
      2.160	 -5.445
      2.164	 -5.445
      2.168	 -5.425
      2.172	 -5.380
      2.176	 -5.355
      2.180	 -5.320
      2.184	 -5.290
      2.188	 -5.235
      2.192	 -5.240
      2.196	 -5.195
      2.200	 -5.160
      2.204	 -5.100
      2.208	 -5.075
      2.212	 -5.030
      2.216	 -5.040
      2.220	 -5.020
      2.224	 -5.055
      2.228	 -5.045
      2.232	 -5.050
      2.236	 -5.045
      2.240	 -5.045
      2.244	 -5.050
      2.248	 -5.075
      2.252	 -5.075
      2.256	 -5.120
      2.260	 -5.135
      2.264	 -5.160
      2.268	 -5.165
      2.272	 -5.185
      2.276	 -5.170
      2.280	 -5.230
      2.284	 -5.225
      2.288	 -5.255
      2.292	 -5.285
      2.296	 -5.280
      2.300	 -5.310
      2.304	 -5.320
      2.308	 -5.355
      2.312	 -5.340
      2.316	 -5.395
      2.320	 -5.420
      2.324	 -5.415
      2.328	 -5.440
      2.332	 -5.430
      2.336	 -5.435
      2.340	 -5.430
      2.344	 -5.385
      2.348	 -5.380
      2.352	 -5.375
      2.356	 -5.400
      2.360	 -5.380
      2.364	 -5.395
      2.368	 -5.350
      2.372	 -5.350
      2.376	 -5.320
      2.380	 -5.320
      2.384	 -5.335
      2.388	 -5.355
      2.392	 -5.360
      2.396	 -5.345
      2.400	 -5.315
      2.404	 -5.290
      2.408	 -5.265
      2.412	 -5.240
      2.416	 -5.230
      2.420	 -5.235
      2.424	 -5.230
      2.428	 -5.180
      2.432	 -5.140
      2.436	 -5.080
      2.440	 -5.050
      2.444	 -5.005
      2.448	 -4.950
      2.452	 -4.930
      2.456	 -4.930
      2.460	 -4.915
      2.464	 -4.915
      2.468	 -4.860
      2.472	 -4.815
      2.476	 -4.780
      2.480	 -4.755
      2.484	 -4.775
      2.488	 -4.785
      2.492	 -4.825
      2.496	 -4.840
      2.500	 -4.845
      2.504	 -4.850
      2.508	 -4.865
      2.512	 -4.885
      2.516	 -4.935
      2.520	 -5.000
