Elapsed_time	ECG
      0.000	 -1.065
      0.004	 -1.050
      0.008	 -1.040
      0.012	 -1.025
      0.016	 -1.020
      0.020	 -1.040
      0.024	 -1.040
      0.028	 -1.035
      0.032	 -1.020
      0.036	 -1.030
      0.040	 -1.025
      0.044	 -1.020
      0.048	 -1.005
      0.052	 -0.980
      0.056	 -1.015
      0.060	 -1.020
      0.064	 -1.000
      0.068	 -0.960
      0.072	 -0.950
      0.076	 -0.910
      0.080	 -0.850
      0.084	 -0.810
      0.088	 -0.765
      0.092	 -0.730
      0.096	 -0.665
      0.100	 -0.650
      0.104	 -0.560
      0.108	 -0.525
      0.112	 -0.470
      0.116	 -0.445
      0.120	 -0.420
      0.124	 -0.430
      0.128	 -0.435
      0.132	 -0.465
      0.136	 -0.455
      0.140	 -0.470
      0.144	 -0.460
      0.148	 -0.470
      0.152	 -0.470
      0.156	 -0.470
      0.160	 -0.500
      0.164	 -0.515
      0.168	 -0.510
      0.172	 -0.530
      0.176	 -0.510
      0.180	 -0.495
      0.184	 -0.510
      0.188	 -0.495
      0.192	 -0.520
      0.196	 -0.535
      0.200	 -0.560
      0.204	 -0.545
      0.208	 -0.515
      0.212	 -0.520
      0.216	 -0.525
      0.220	 -0.525
      0.224	 -0.570
      0.228	 -0.580
      0.232	 -0.600
      0.236	 -0.620
      0.240	 -0.635
      0.244	 -0.610
      0.248	 -0.630
      0.252	 -0.635
      0.256	 -0.680
      0.260	 -0.690
      0.264	 -0.705
      0.268	 -0.735
      0.272	 -0.730
      0.276	 -0.730
      0.280	 -0.730
      0.284	 -0.755
      0.288	 -0.770
      0.292	 -0.780
      0.296	 -0.800
      0.300	 -0.815
      0.304	 -0.825
      0.308	 -0.805
      0.312	 -0.830
      0.316	 -0.840
      0.320	 -0.845
      0.324	 -0.850
      0.328	 -0.870
      0.332	 -0.885
      0.336	 -0.900
      0.340	 -0.900
      0.344	 -0.880
      0.348	 -0.870
      0.352	 -0.880
      0.356	 -0.910
      0.360	 -0.920
      0.364	 -0.930
      0.368	 -0.955
      0.372	 -0.950
      0.376	 -0.930
      0.380	 -0.920
      0.384	 -0.935
      0.388	 -0.940
      0.392	 -1.000
      0.396	 -0.985
      0.400	 -0.995
      0.404	 -1.010
      0.408	 -1.000
      0.412	 -1.000
      0.416	 -1.000
      0.420	 -1.010
      0.424	 -1.020
      0.428	 -1.045
      0.432	 -1.035
      0.436	 -1.050
      0.440	 -1.055
      0.444	 -1.065
      0.448	 -1.040
      0.452	 -1.050
      0.456	 -1.065
      0.460	 -1.080
      0.464	 -1.100
      0.468	 -1.110
      0.472	 -1.070
      0.476	 -1.055
      0.480	 -1.055
      0.484	 -1.085
      0.488	 -1.070
      0.492	 -1.100
      0.496	 -1.120
      0.500	 -1.105
      0.504	 -1.110
      0.508	 -1.085
      0.512	 -1.075
      0.516	 -1.095
      0.520	 -1.110
      0.524	 -1.115
      0.528	 -1.140
      0.532	 -1.115
      0.536	 -1.135
      0.540	 -1.115
      0.544	 -1.120
      0.548	 -1.085
      0.552	 -1.085
      0.556	 -1.090
      0.560	 -1.115
      0.564	 -1.130
      0.568	 -1.085
      0.572	 -1.120
      0.576	 -1.080
      0.580	 -1.080
      0.584	 -1.090
      0.588	 -1.095
      0.592	 -1.105
      0.596	 -1.100
      0.600	 -1.115
      0.604	 -1.085
      0.608	 -1.110
      0.612	 -1.075
      0.616	 -1.070
      0.620	 -1.085
      0.624	 -1.105
      0.628	 -1.105
      0.632	 -1.120
      0.636	 -1.105
      0.640	 -1.095
      0.644	 -1.090
      0.648	 -1.070
      0.652	 -1.065
      0.656	 -1.070
      0.660	 -1.105
      0.664	 -1.110
      0.668	 -1.105
      0.672	 -1.075
      0.676	 -1.075
      0.680	 -1.055
      0.684	 -1.070
      0.688	 -1.055
      0.692	 -1.095
      0.696	 -1.100
      0.700	 -1.085
      0.704	 -1.110
      0.708	 -1.115
      0.712	 -1.100
      0.716	 -1.120
      0.720	 -1.110
      0.724	 -1.140
      0.728	 -1.140
      0.732	 -1.170
      0.736	 -1.150
      0.740	 -1.155
      0.744	 -1.185
      0.748	 -1.165
      0.752	 -1.170
      0.756	 -1.185
