Elapsed_time	ECG
       0.000	  0.045
       0.004	  0.105
       0.008	  0.065
       0.012	  0.015
       0.016	  0.065
       0.020	  0.085
       0.024	  0.090
       0.028	  0.015
       0.032	  0.010
       0.036	  0.050
       0.040	  0.075
       0.044	  0.110
       0.048	  0.070
       0.052	  0.065
       0.056	  0.090
       0.060	  0.090
       0.064	  0.055
       0.068	  0.060
       0.072	  0.105
       0.076	  0.110
       0.080	  0.080
       0.084	  0.110
       0.088	  0.130
       0.092	  0.115
       0.096	  0.100
       0.100	  0.110
       0.104	  0.150
       0.108	  0.130
       0.112	  0.120
       0.116	  0.155
       0.120	  0.175
       0.124	  0.175
       0.128	  0.190
       0.132	  0.205
       0.136	  0.270
       0.140	  0.315
       0.144	  0.330
       0.148	  0.390
       0.152	  0.465
       0.156	  0.450
       0.160	  0.380
       0.164	  0.380
       0.168	  0.405
       0.172	  0.350
       0.176	  0.225
       0.180	  0.190
       0.184	  0.220
       0.188	  0.155
       0.192	  0.115
       0.196	  0.110
       0.200	  0.110
       0.204	  0.095
       0.208	  0.070
       0.212	  0.120
       0.216	  0.125
       0.220	  0.100
       0.224	  0.110
       0.228	  0.125
       0.232	  0.150
       0.236	  0.110
       0.240	  0.135
       0.244	  0.145
       0.248	  0.130
       0.252	  0.085
       0.256	  0.055
       0.260	  0.070
       0.264	  0.040
       0.268	  0.025
       0.272	  0.020
       0.276	  0.045
       0.280	  0.035
       0.284	  0.015
       0.288	  0.035
       0.292	  0.080
       0.296	  0.115
       0.300	  0.160
       0.304	  0.130
       0.308	  0.070
       0.312	  0.025
       0.316	 -0.025
       0.320	 -0.090
       0.324	 -0.165
       0.328	 -0.190
       0.332	 -0.225
       0.336	 -0.265
       0.340	 -0.215
       0.344	 -0.165
       0.348	 -0.250
       0.352	 -0.225
       0.356	 -0.135
       0.360	 -0.025
       0.364	  0.150
       0.368	  0.475
       0.372	  0.865
       0.376	  1.125
       0.380	  1.400
       0.384	  1.750
       0.388	  2.040
       0.392	  2.255
       0.396	  2.455
       0.400	  2.645
       0.404	  2.630
       0.408	  2.415
       0.412	  2.150
       0.416	  1.800
       0.420	  1.275
       0.424	  0.765
       0.428	  0.510
       0.432	  0.355
       0.436	  0.265
       0.440	  0.165
       0.444	  0.135
       0.448	  0.095
       0.452	  0.055
       0.456	 -0.025
       0.460	 -0.040
       0.464	 -0.020
       0.468	 -0.065
       0.472	 -0.095
