Elapsed_time	ECG
      0.000	 -0.100
      0.004	 -0.120
      0.008	 -0.125
      0.012	 -0.085
      0.016	 -0.095
      0.020	 -0.105
      0.024	 -0.090
      0.028	 -0.085
      0.032	 -0.095
      0.036	 -0.100
      0.040	 -0.055
      0.044	 -0.010
      0.048	  0.010
      0.052	 -0.030
      0.056	 -0.045
      0.060	 -0.005
      0.064	  0.005
      0.068	 -0.005
      0.072	 -0.020
      0.076	  0.015
      0.080	  0.030
      0.084	 -0.020
      0.088	 -0.040
      0.092	 -0.035
      0.096	 -0.010
      0.100	 -0.035
      0.104	 -0.015
      0.108	 -0.030
      0.112	 -0.020
      0.116	 -0.050
      0.120	 -0.080
      0.124	 -0.090
      0.128	 -0.065
      0.132	 -0.040
      0.136	 -0.060
      0.140	 -0.065
      0.144	 -0.060
      0.148	 -0.025
      0.152	 -0.040
      0.156	 -0.085
      0.160	 -0.075
      0.164	 -0.070
      0.168	 -0.060
      0.172	 -0.090
      0.176	 -0.075
      0.180	 -0.085
      0.184	 -0.085
      0.188	 -0.120
      0.192	 -0.145
      0.196	 -0.110
      0.200	 -0.100
      0.204	 -0.115
      0.208	 -0.135
      0.212	 -0.105
      0.216	 -0.115
      0.220	 -0.115
      0.224	 -0.115
      0.228	 -0.140
      0.232	 -0.125
      0.236	 -0.105
      0.240	 -0.115
      0.244	 -0.105
      0.248	 -0.100
      0.252	 -0.065
      0.256	 -0.085
      0.260	 -0.110
      0.264	 -0.085
      0.268	 -0.045
      0.272	 -0.045
      0.276	 -0.015
      0.280	 -0.015
      0.284	  0.005
      0.288	  0.020
      0.292	 -0.015
      0.296	 -0.025
      0.300	 -0.010
      0.304	  0.015
      0.308	 -0.010
      0.312	 -0.040
      0.316	 -0.005
      0.320	  0.005
      0.324	 -0.010
      0.328	 -0.045
      0.332	 -0.035
      0.336	 -0.025
      0.340	  0.000
      0.344	 -0.030
      0.348	 -0.015
      0.352	 -0.025
      0.356	 -0.025
      0.360	 -0.025
      0.364	 -0.030
      0.368	 -0.070
      0.372	 -0.040
      0.376	 -0.005
      0.380	 -0.010
      0.384	 -0.035
      0.388	 -0.070
      0.392	 -0.075
      0.396	 -0.060
      0.400	 -0.085
      0.404	 -0.085
      0.408	 -0.070
      0.412	 -0.055
      0.416	 -0.090
      0.420	 -0.070
      0.424	 -0.085
      0.428	 -0.100
      0.432	 -0.105
      0.436	 -0.120
      0.440	 -0.120
      0.444	 -0.115
      0.448	 -0.125
      0.452	 -0.135
      0.456	 -0.135
      0.460	 -0.140
      0.464	 -0.145
      0.468	 -0.135
      0.472	 -0.085
      0.476	 -0.095
      0.480	 -0.095
      0.484	 -0.090
      0.488	 -0.060
      0.492	 -0.030
      0.496	 -0.040
      0.500	 -0.045
      0.504	 -0.045
      0.508	 -0.010
      0.512	 -0.010
      0.516	 -0.030
      0.520	 -0.015
      0.524	 -0.005
      0.528	 -0.025
      0.532	 -0.055
      0.536	 -0.055
      0.540	 -0.080
      0.544	 -0.050
      0.548	 -0.040
      0.552	 -0.050
      0.556	 -0.065
      0.560	 -0.055
      0.564	 -0.085
      0.568	 -0.085
      0.572	 -0.095
      0.576	 -0.085
      0.580	 -0.090
      0.584	 -0.065
      0.588	 -0.075
      0.592	 -0.080
      0.596	 -0.090
      0.600	 -0.080
      0.604	 -0.120
      0.608	 -0.135
      0.612	 -0.110
      0.616	 -0.115
      0.620	 -0.115
      0.624	 -0.120
      0.628	 -0.155
      0.632	 -0.150
      0.636	 -0.130
      0.640	 -0.125
      0.644	 -0.130
      0.648	 -0.135
      0.652	 -0.115
      0.656	 -0.130
      0.660	 -0.120
      0.664	 -0.135
      0.668	 -0.125
      0.672	 -0.140
      0.676	 -0.140
      0.680	 -0.150
      0.684	 -0.140
      0.688	 -0.110
      0.692	 -0.125
      0.696	 -0.130
      0.700	 -0.150
      0.704	 -0.135
      0.708	 -0.115
      0.712	 -0.100
      0.716	 -0.100
      0.720	 -0.075
      0.724	 -0.045
      0.728	 -0.060
      0.732	 -0.055
      0.736	 -0.040
      0.740	 -0.050
      0.744	 -0.070
      0.748	 -0.060
      0.752	 -0.015
      0.756	 -0.045
      0.760	 -0.055
      0.764	 -0.085
      0.768	 -0.080
      0.772	 -0.095
      0.776	 -0.115
      0.780	 -0.095
      0.784	 -0.080
      0.788	 -0.070
      0.792	 -0.075
      0.796	 -0.085
      0.800	 -0.065
      0.804	 -0.065
      0.808	 -0.115
      0.812	 -0.120
      0.816	 -0.110
      0.820	 -0.095
      0.824	 -0.075
      0.828	 -0.085
      0.832	 -0.085
      0.836	 -0.055
      0.840	 -0.070
      0.844	 -0.080
      0.848	 -0.095
      0.852	 -0.125
      0.856	 -0.115
      0.860	 -0.100
      0.864	 -0.095
      0.868	 -0.115
      0.872	 -0.115
      0.876	 -0.110
      0.880	 -0.130
      0.884	 -0.115
      0.888	 -0.135
      0.892	 -0.105
      0.896	 -0.125
      0.900	 -0.115
      0.904	 -0.110
      0.908	 -0.095
      0.912	 -0.105
      0.916	 -0.135
      0.920	 -0.115
      0.924	 -0.115
      0.928	 -0.085
      0.932	 -0.050
      0.936	 -0.070
      0.940	 -0.045
      0.944	 -0.045
      0.948	 -0.070
      0.952	 -0.090
      0.956	 -0.080
      0.960	 -0.030
      0.964	 -0.020
      0.968	 -0.040
      0.972	 -0.040
      0.976	 -0.070
      0.980	 -0.080
      0.984	 -0.065
      0.988	 -0.055
      0.992	 -0.040
      0.996	 -0.050
      1.000	 -0.050
      1.004	 -0.055
      1.008	 -0.035
      1.012	 -0.045
      1.016	 -0.015
      1.020	 -0.060
      1.024	 -0.095
      1.028	 -0.115
      1.032	 -0.055
      1.036	 -0.040
      1.040	 -0.075
      1.044	 -0.085
      1.048	 -0.055
      1.052	 -0.075
      1.056	 -0.090
      1.060	 -0.075
      1.064	 -0.055
      1.068	 -0.070
      1.072	 -0.070
      1.076	 -0.080
      1.080	 -0.045
      1.084	 -0.035
      1.088	 -0.065
      1.092	 -0.070
      1.096	 -0.070
      1.100	 -0.070
      1.104	 -0.080
      1.108	 -0.080
      1.112	 -0.065
      1.116	 -0.095
      1.120	 -0.085
      1.124	 -0.090
      1.128	 -0.085
      1.132	 -0.115
      1.136	 -0.115
      1.140	 -0.080
      1.144	 -0.075
      1.148	 -0.090
      1.152	 -0.090
      1.156	 -0.090
      1.160	 -0.115
      1.164	 -0.110
      1.168	 -0.070
      1.172	 -0.050
      1.176	 -0.060
      1.180	 -0.040
      1.184	 -0.070
      1.188	 -0.045
      1.192	 -0.050
      1.196	 -0.070
      1.200	 -0.035
      1.204	 -0.020
      1.208	 -0.025
      1.212	  0.000
      1.216	 -0.015
      1.220	 -0.015
      1.224	 -0.010
      1.228	  0.000
      1.232	 -0.095
      1.236	 -0.085
      1.240	 -0.045
      1.244	 -0.020
      1.248	 -0.050
      1.252	 -0.065
      1.256	 -0.020
      1.260	 -0.060
      1.264	 -0.070
      1.268	 -0.040
      1.272	 -0.010
      1.276	  0.005
      1.280	 -0.015
      1.284	 -0.040
      1.288	 -0.030
      1.292	 -0.045
      1.296	 -0.095
      1.300	 -0.075
      1.304	 -0.025
      1.308	 -0.010
      1.312	 -0.040
      1.316	 -0.040
      1.320	 -0.020
      1.324	 -0.015
      1.328	 -0.030
      1.332	 -0.060
      1.336	 -0.070
      1.340	 -0.055
      1.344	 -0.035
      1.348	 -0.060
      1.352	 -0.050
      1.356	 -0.015
      1.360	 -0.035
      1.364	 -0.055
      1.368	 -0.065
      1.372	 -0.060
      1.376	 -0.060
      1.380	 -0.060
      1.384	 -0.065
      1.388	 -0.100
      1.392	 -0.045
      1.396	 -0.065
      1.400	 -0.075
      1.404	 -0.105
      1.408	 -0.075
      1.412	 -0.020
      1.416	 -0.040
      1.420	 -0.040
      1.424	 -0.055
      1.428	 -0.005
      1.432	 -0.010
      1.436	 -0.055
      1.440	 -0.030
      1.444	 -0.015
      1.448	 -0.025
      1.452	 -0.035
      1.456	 -0.005
      1.460	  0.010
      1.464	  0.025
      1.468	 -0.035
      1.472	 -0.045
      1.476	 -0.035
      1.480	 -0.035
      1.484	 -0.020
      1.488	 -0.015
      1.492	 -0.035
      1.496	 -0.050
      1.500	 -0.095
      1.504	 -0.105
      1.508	 -0.090
      1.512	 -0.090
      1.516	 -0.045
      1.520	 -0.095
      1.524	 -0.100
      1.528	 -0.070
      1.532	 -0.090
      1.536	 -0.080
      1.540	 -0.095
      1.544	 -0.065
      1.548	 -0.045
      1.552	 -0.055
      1.556	 -0.075
      1.560	 -0.050
      1.564	 -0.055
      1.568	 -0.065
      1.572	 -0.105
      1.576	 -0.100
      1.580	 -0.055
      1.584	 -0.065
      1.588	 -0.095
      1.592	 -0.110
      1.596	 -0.085
      1.600	 -0.055
      1.604	 -0.115
      1.608	 -0.090
      1.612	 -0.085
      1.616	 -0.085
      1.620	 -0.055
      1.624	 -0.065
      1.628	 -0.035
      1.632	 -0.070
      1.636	 -0.075
      1.640	 -0.050
      1.644	 -0.025
      1.648	 -0.010
      1.652	 -0.005
      1.656	 -0.020
      1.660	  0.000
      1.664	 -0.020
      1.668	 -0.020
      1.672	 -0.030
      1.676	 -0.070
      1.680	 -0.105
      1.684	 -0.100
      1.688	 -0.040
      1.692	 -0.025
      1.696	 -0.055
      1.700	 -0.075
      1.704	 -0.065
      1.708	 -0.070
      1.712	 -0.075
      1.716	 -0.060
      1.720	 -0.060
      1.724	 -0.095
      1.728	 -0.130
      1.732	 -0.095
      1.736	 -0.050
      1.740	 -0.075
      1.744	 -0.085
      1.748	 -0.070
      1.752	 -0.080
      1.756	 -0.100
      1.760	 -0.115
      1.764	 -0.075
      1.768	 -0.040
      1.772	 -0.075
      1.776	 -0.140
      1.780	 -0.080
      1.784	 -0.065
      1.788	 -0.105
      1.792	 -0.085
      1.796	 -0.090
      1.800	 -0.085
      1.804	 -0.115
      1.808	 -0.120
      1.812	 -0.105
      1.816	 -0.110
      1.820	 -0.115
      1.824	 -0.110
      1.828	 -0.085
      1.832	 -0.105
      1.836	 -0.100
      1.840	 -0.100
      1.844	 -0.100
      1.848	 -0.095
      1.852	 -0.080
      1.856	 -0.035
      1.860	 -0.070
      1.864	 -0.035
      1.868	 -0.045
      1.872	 -0.020
      1.876	 -0.030
      1.880	 -0.050
      1.884	 -0.055
      1.888	 -0.075
      1.892	 -0.075
      1.896	 -0.065
      1.900	 -0.050
      1.904	 -0.070
      1.908	 -0.095
      1.912	 -0.110
      1.916	 -0.090
      1.920	 -0.085
      1.924	 -0.085
      1.928	 -0.085
      1.932	 -0.080
      1.936	 -0.085
      1.940	 -0.100
      1.944	 -0.110
      1.948	 -0.120
      1.952	 -0.100
      1.956	 -0.085
      1.960	 -0.070
      1.964	 -0.090
      1.968	 -0.080
      1.972	 -0.060
      1.976	 -0.070
      1.980	 -0.055
      1.984	 -0.075
      1.988	 -0.035
      1.992	 -0.005
      1.996	 -0.025
      2.000	  0.000
      2.004	 -0.020
      2.008	 -0.035
      2.012	 -0.015
      2.016	 -0.025
      2.020	  0.000
      2.024	  0.000
      2.028	 -0.040
      2.032	 -0.045
      2.036	 -0.005
      2.040	 -0.015
      2.044	 -0.025
      2.048	 -0.060
      2.052	 -0.045
      2.056	 -0.025
      2.060	 -0.035
      2.064	 -0.035
      2.068	  0.005
      2.072	 -0.010
      2.076	 -0.035
      2.080	 -0.045
      2.084	 -0.020
      2.088	  0.000
      2.092	  0.015
      2.096	 -0.005
      2.100	 -0.010
      2.104	 -0.005
      2.108	 -0.020
      2.112	 -0.045
      2.116	 -0.065
      2.120	 -0.060
      2.124	 -0.045
      2.128	 -0.050
      2.132	 -0.045
      2.136	 -0.035
      2.140	 -0.020
      2.144	 -0.055
      2.148	 -0.065
      2.152	 -0.065
      2.156	 -0.065
      2.160	 -0.025
      2.164	 -0.030
      2.168	 -0.005
      2.172	  0.000
      2.176	 -0.020
      2.180	 -0.045
      2.184	 -0.040
      2.188	 -0.060
      2.192	 -0.020
      2.196	  0.035
      2.200	  0.020
      2.204	  0.020
      2.208	  0.040
      2.212	  0.010
      2.216	  0.005
      2.220	  0.010
      2.224	  0.040
      2.228	  0.025
      2.232	  0.005
      2.236	  0.025
      2.240	  0.025
      2.244	  0.005
      2.248	 -0.040
      2.252	 -0.010
      2.256	  0.020
      2.260	  0.030
      2.264	  0.005
      2.268	 -0.015
      2.272	  0.025
      2.276	 -0.015
      2.280	 -0.055
      2.284	 -0.080
      2.288	 -0.040
      2.292	 -0.030
      2.296	 -0.035
      2.300	 -0.040
      2.304	 -0.040
      2.308	 -0.030
      2.312	 -0.065
      2.316	 -0.085
      2.320	 -0.040
      2.324	 -0.030
      2.328	 -0.055
      2.332	 -0.050
      2.336	 -0.050
      2.340	 -0.065
      2.344	 -0.085
      2.348	 -0.080
      2.352	 -0.085
      2.356	 -0.070
      2.360	 -0.075
      2.364	 -0.070
      2.368	 -0.065
      2.372	 -0.045
      2.376	 -0.050
      2.380	 -0.060
      2.384	 -0.085
      2.388	 -0.070
      2.392	 -0.015
      2.396	 -0.025
      2.400	 -0.040
      2.404	 -0.020
      2.408	 -0.060
      2.412	 -0.070
      2.416	 -0.040
      2.420	 -0.050
      2.424	 -0.010
      2.428	  0.000
      2.432	  0.015
      2.436	 -0.005
      2.440	  0.005
      2.444	  0.010
      2.448	  0.005
      2.452	  0.005
      2.456	  0.040
      2.460	  0.025
      2.464	  0.025
      2.468	  0.015
      2.472	  0.020
      2.476	  0.025
      2.480	 -0.015
      2.484	 -0.025
      2.488	 -0.030
      2.492	 -0.015
      2.496	 -0.015
      2.500	 -0.045
      2.504	 -0.030
      2.508	 -0.040
      2.512	 -0.075
      2.516	 -0.075
      2.520	 -0.055
      2.524	 -0.040
      2.528	 -0.040
      2.532	 -0.045
      2.536	 -0.040
      2.540	 -0.020
      2.544	 -0.050
      2.548	 -0.055
      2.552	 -0.050
      2.556	 -0.060
      2.560	 -0.055
      2.564	 -0.045
      2.568	 -0.040
      2.572	 -0.030
      2.576	 -0.055
      2.580	 -0.050
      2.584	 -0.040
      2.588	 -0.055
      2.592	 -0.035
      2.596	 -0.045
      2.600	 -0.025
      2.604	 -0.015
      2.608	 -0.015
      2.612	 -0.015
      2.616	 -0.035
      2.620	 -0.040
      2.624	 -0.020
      2.628	 -0.025
      2.632	 -0.015
      2.636	  0.000
      2.640	  0.000
      2.644	  0.010
      2.648	 -0.010
      2.652	 -0.025
      2.656	 -0.030
      2.660	 -0.040
      2.664	 -0.025
      2.668	 -0.060
      2.672	 -0.070
      2.676	 -0.080
      2.680	 -0.090
      2.684	 -0.100
      2.688	 -0.125
      2.692	 -0.080
      2.696	 -0.085
      2.700	 -0.130
      2.704	 -0.110
      2.708	 -0.115
      2.712	 -0.120
      2.716	 -0.150
      2.720	 -0.150
      2.724	 -0.115
      2.728	 -0.125
      2.732	 -0.135
      2.736	 -0.135
      2.740	 -0.115
      2.744	 -0.080
      2.748	 -0.125
      2.752	 -0.135
      2.756	 -0.125
      2.760	 -0.090
      2.764	 -0.060
      2.768	 -0.070
      2.772	 -0.075
      2.776	 -0.065
