Elapsed_time	ECG
       0.000	 -0.055
       0.004	 -0.100
       0.008	 -0.030
       0.012	  0.040
       0.016	 -0.015
       0.020	 -0.075
       0.024	 -0.025
       0.028	  0.055
       0.032	  0.065
       0.036	  0.040
       0.040	  0.130
       0.044	  0.345
       0.048	  0.535
       0.052	  0.635
       0.056	  0.740
       0.060	  0.840
       0.064	  0.930
       0.068	  0.950
       0.072	  0.980
       0.076	  1.095
       0.080	  1.245
       0.084	  1.370
       0.088	  1.530
       0.092	  1.670
       0.096	  1.775
       0.100	  1.810
       0.104	  1.810
       0.108	  1.815
       0.112	  1.820
       0.116	  1.820
       0.120	  1.800
       0.124	  1.710
       0.128	  1.515
       0.132	  1.240
       0.136	  0.760
       0.140	  0.390
       0.144	  0.175
       0.148	  0.010
       0.152	 -0.105
       0.156	 -0.185
       0.160	 -0.180
       0.164	 -0.245
       0.168	 -0.325
       0.172	 -0.345
       0.176	 -0.350
       0.180	 -0.360
       0.184	 -0.385
       0.188	 -0.430
       0.192	 -0.405
       0.196	 -0.375
       0.200	 -0.355
       0.204	 -0.365
       0.208	 -0.385
       0.212	 -0.410
       0.216	 -0.430
       0.220	 -0.420
       0.224	 -0.415
       0.228	 -0.395
       0.232	 -0.415
       0.236	 -0.415
       0.240	 -0.390
       0.244	 -0.380
       0.248	 -0.390
       0.252	 -0.385
       0.256	 -0.325
       0.260	 -0.305
       0.264	 -0.340
       0.268	 -0.380
       0.272	 -0.385
       0.276	 -0.375
       0.280	 -0.395
       0.284	 -0.415
       0.288	 -0.410
       0.292	 -0.395
       0.296	 -0.445
       0.300	 -0.445
       0.304	 -0.445
       0.308	 -0.450
       0.312	 -0.465
       0.316	 -0.435
       0.320	 -0.475
       0.324	 -0.460
       0.328	 -0.460
       0.332	 -0.440
       0.336	 -0.415
       0.340	 -0.455
       0.344	 -0.445
       0.348	 -0.405
       0.352	 -0.415
       0.356	 -0.425
       0.360	 -0.390
       0.364	 -0.365
       0.368	 -0.395
       0.372	 -0.460
       0.376	 -0.435
       0.380	 -0.410
       0.384	 -0.440
       0.388	 -0.495
       0.392	 -0.460
       0.396	 -0.420
       0.400	 -0.500
       0.404	 -0.575
       0.408	 -0.535
       0.412	 -0.500
       0.416	 -0.560
       0.420	 -0.600
       0.424	 -0.575
       0.428	 -0.535
       0.432	 -0.615
       0.436	 -0.695
       0.440	 -0.710
       0.444	 -0.680
       0.448	 -0.665
       0.452	 -0.660
       0.456	 -0.645
       0.460	 -0.635
       0.464	 -0.615
       0.468	 -0.650
       0.472	 -0.675
       0.476	 -0.645
       0.480	 -0.615
       0.484	 -0.610
       0.488	 -0.640
       0.492	 -0.625
       0.496	 -0.590
       0.500	 -0.585
       0.504	 -0.560
       0.508	 -0.560
       0.512	 -0.545
       0.516	 -0.500
       0.520	 -0.475
       0.524	 -0.445
       0.528	 -0.370
       0.532	 -0.330
       0.536	 -0.320
       0.540	 -0.320
       0.544	 -0.300
       0.548	 -0.270
       0.552	 -0.230
       0.556	 -0.210
       0.560	 -0.200
       0.564	 -0.120
       0.568	 -0.090
       0.572	 -0.100
       0.576	 -0.155
       0.580	 -0.090
       0.584	 -0.075
       0.588	 -0.030
       0.592	 -0.030
       0.596	 -0.035
       0.600	 -0.020
       0.604	 -0.030
       0.608	 -0.025
       0.612	 -0.025
       0.616	  0.025
       0.620	  0.020
       0.624	  0.005
       0.628	  0.010
       0.632	 -0.015
       0.636	  0.005
       0.640	 -0.015
       0.644	 -0.020
       0.648	 -0.035
       0.652	 -0.040
       0.656	 -0.010
       0.660	 -0.015
       0.664	  0.000
       0.668	  0.010
       0.672	  0.005
       0.676	  0.000
       0.680	  0.005
       0.684	 -0.015
       0.688	 -0.045
       0.692	 -0.050
       0.696	 -0.015
       0.700	  0.020
       0.704	  0.015
       0.708	  0.025
       0.712	  0.030
       0.716	  0.030
       0.720	  0.030
       0.724	  0.020
       0.728	  0.020
       0.732	  0.075
       0.736	  0.115
       0.740	  0.125
       0.744	  0.115
       0.748	  0.110
       0.752	  0.095
       0.756	  0.080
       0.760	  0.050
       0.764	  0.060
       0.768	  0.085
       0.772	  0.065
       0.776	  0.030
       0.780	 -0.035
       0.784	 -0.035
       0.788	 -0.010
       0.792	 -0.035
       0.796	 -0.080
       0.800	 -0.055
       0.804	 -0.055
       0.808	 -0.075
       0.812	 -0.075
       0.816	 -0.060
       0.820	 -0.035
       0.824	 -0.050
       0.828	 -0.070
       0.832	 -0.065
       0.836	 -0.060
       0.840	 -0.080
       0.844	 -0.065
       0.848	 -0.050
       0.852	 -0.065
       0.856	 -0.095
       0.860	 -0.100
       0.864	 -0.100
       0.868	 -0.100
       0.872	 -0.090
       0.876	 -0.060
       0.880	 -0.080
       0.884	 -0.065
       0.888	 -0.075
       0.892	 -0.060
       0.896	 -0.065
       0.900	 -0.035
       0.904	 -0.030
       0.908	 -0.005
       0.912	  0.030
       0.916	  0.025
       0.920	  0.030
       0.924	  0.030
       0.928	  0.030
       0.932	  0.030
       0.936	 -0.010
       0.940	  0.010
       0.944	  0.010
       0.948	  0.010
       0.952	 -0.035
       0.956	 -0.065
       0.960	 -0.075
       0.964	 -0.080
       0.968	 -0.080
       0.972	 -0.080
       0.976	 -0.040
       0.980	 -0.080
       0.984	 -0.100
       0.988	 -0.125
       0.992	 -0.110
       0.996	 -0.135
       1.000	 -0.155
       1.004	 -0.175
       1.008	 -0.120
       1.012	 -0.125
       1.016	 -0.105
       1.020	 -0.085
       1.024	 -0.110
       1.028	 -0.165
       1.032	 -0.160
       1.036	 -0.115
       1.040	 -0.065
       1.044	 -0.060
       1.048	 -0.080
       1.052	 -0.050
       1.056	 -0.065
       1.060	 -0.070
       1.064	 -0.050
       1.068	 -0.030
       1.072	 -0.015
       1.076	  0.025
       1.080	  0.060
       1.084	  0.045
       1.088	  0.005
       1.092	 -0.020
       1.096	 -0.025
       1.100	 -0.020
       1.104	  0.015
       1.108	  0.020
       1.112	  0.035
       1.116	 -0.005
       1.120	 -0.020
       1.124	 -0.015
       1.128	  0.005
       1.132	 -0.035
       1.136	 -0.080
       1.140	 -0.085
       1.144	 -0.050
       1.148	 -0.035
       1.152	 -0.025
       1.156	 -0.045
       1.160	 -0.060
       1.164	 -0.065
       1.168	 -0.075
       1.172	 -0.075
       1.176	 -0.070
       1.180	 -0.095
       1.184	 -0.095
       1.188	 -0.075
       1.192	 -0.060
       1.196	 -0.060
       1.200	 -0.025
       1.204	 -0.005
       1.208	 -0.015
       1.212	 -0.010
       1.216	 -0.030
       1.220	 -0.055
       1.224	 -0.030
       1.228	  0.015
       1.232	  0.035
       1.236	  0.065
       1.240	  0.055
       1.244	  0.075
       1.248	  0.080
       1.252	  0.080
       1.256	  0.035
       1.260	  0.030
       1.264	  0.080
       1.268	  0.060
       1.272	  0.085
       1.276	  0.060
       1.280	  0.085
       1.284	  0.080
       1.288	  0.030
       1.292	  0.035
       1.296	  0.020
       1.300	  0.030
       1.304	  0.025
       1.308	 -0.005
       1.312	  0.020
       1.316	  0.035
       1.320	  0.035
       1.324	 -0.040
       1.328	 -0.030
