Elapsed_time	ECG
       0.000	  0.040
       0.004	  0.010
       0.008	  0.010
       0.012	 -0.010
       0.016	  0.035
       0.020	  0.020
       0.024	 -0.005
       0.028	  0.000
       0.032	 -0.025
       0.036	  0.005
       0.040	  0.010
       0.044	 -0.015
       0.048	 -0.040
       0.052	 -0.035
       0.056	 -0.045
       0.060	 -0.020
       0.064	 -0.030
       0.068	 -0.035
       0.072	 -0.055
       0.076	 -0.035
       0.080	  0.020
       0.084	 -0.015
       0.088	 -0.015
       0.092	 -0.010
       0.096	  0.005
       0.100	 -0.020
       0.104	 -0.035
       0.108	 -0.030
       0.112	 -0.010
       0.116	 -0.005
       0.120	 -0.005
       0.124	 -0.025
       0.128	 -0.030
       0.132	 -0.030
       0.136	 -0.030
       0.140	  0.015
       0.144	  0.015
       0.148	 -0.010
       0.152	 -0.015
       0.156	 -0.015
       0.160	  0.000
       0.164	 -0.020
       0.168	 -0.040
       0.172	 -0.010
       0.176	 -0.010
       0.180	 -0.030
       0.184	 -0.070
       0.188	 -0.005
       0.192	 -0.030
       0.196	 -0.020
       0.200	 -0.025
       0.204	  0.035
       0.208	  0.030
       0.212	  0.005
       0.216	  0.020
       0.220	  0.030
       0.224	  0.090
       0.228	  0.135
       0.232	  0.145
       0.236	  0.140
       0.240	  0.085
       0.244	  0.100
       0.248	  0.125
       0.252	  0.070
       0.256	  0.070
       0.260	  0.015
       0.264	 -0.005
       0.268	 -0.010
       0.272	 -0.025
       0.276	 -0.020
       0.280	  0.080
       0.284	  0.260
       0.288	  0.480
       0.292	  0.725
       0.296	  1.150
       0.300	  1.605
       0.304	  1.860
       0.308	  1.995
       0.312	  2.105
       0.316	  2.225
       0.320	  2.290
       0.324	  2.380
       0.328	  2.460
       0.332	  2.510
       0.336	  2.540
       0.340	  2.550
       0.344	  2.560
       0.348	  2.350
       0.352	  2.135
       0.356	  1.910
       0.360	  1.785
       0.364	  1.710
       0.368	  1.565
       0.372	  1.385
       0.376	  1.100
       0.380	  0.750
       0.384	  0.535
       0.388	  0.395
       0.392	  0.160
       0.396	 -0.050
       0.400	 -0.160
       0.404	 -0.250
       0.408	 -0.320
       0.412	 -0.335
       0.416	 -0.400
       0.420	 -0.390
       0.424	 -0.430
       0.428	 -0.430
       0.432	 -0.445
       0.436	 -0.445
       0.440	 -0.360
       0.444	 -0.430
       0.448	 -0.480
       0.452	 -0.505
       0.456	 -0.490
       0.460	 -0.555
       0.464	 -0.580
       0.468	 -0.585
       0.472	 -0.620
       0.476	 -0.630
       0.480	 -0.650
       0.484	 -0.660
       0.488	 -0.705
       0.492	 -0.745
       0.496	 -0.725
       0.500	 -0.745
       0.504	 -0.780
       0.508	 -0.850
       0.512	 -0.850
       0.516	 -0.860
       0.520	 -0.885
       0.524	 -0.965
       0.528	 -0.935
       0.532	 -0.965
       0.536	 -1.015
       0.540	 -1.075
       0.544	 -1.095
       0.548	 -1.095
       0.552	 -1.165
       0.556	 -1.170
       0.560	 -1.205
       0.564	 -1.235
       0.568	 -1.265
       0.572	 -1.275
       0.576	 -1.290
       0.580	 -1.315
       0.584	 -1.290
       0.588	 -1.345
       0.592	 -1.360
       0.596	 -1.360
       0.600	 -1.370
       0.604	 -1.315
       0.608	 -1.350
       0.612	 -1.315
       0.616	 -1.320
       0.620	 -1.360
       0.624	 -1.305
       0.628	 -1.275
       0.632	 -1.220
       0.636	 -1.210
       0.640	 -1.190
       0.644	 -1.155
       0.648	 -1.155
       0.652	 -1.190
       0.656	 -1.120
       0.660	 -1.070
       0.664	 -1.055
       0.668	 -1.055
       0.672	 -1.010
       0.676	 -0.965
       0.680	 -0.980
       0.684	 -1.005
       0.688	 -0.990
       0.692	 -1.010
       0.696	 -0.985
       0.700	 -0.915
       0.704	 -0.920
       0.708	 -0.960
       0.712	 -0.965
       0.716	 -0.980
       0.720	 -0.980
       0.724	 -0.935
       0.728	 -0.915
       0.732	 -0.900
       0.736	 -0.870
       0.740	 -0.835
       0.744	 -0.805
