Elapsed_time	ECG
       0.000	 -0.835
       0.004	 -0.885
       0.008	 -0.910
       0.012	 -0.945
       0.016	 -0.980
       0.020	 -0.995
       0.024	 -1.010
       0.028	 -1.045
       0.032	 -1.075
       0.036	 -1.110
       0.040	 -1.135
       0.044	 -1.085
       0.048	 -1.105
       0.052	 -1.160
       0.056	 -1.155
       0.060	 -1.165
       0.064	 -1.195
       0.068	 -1.230
       0.072	 -1.280
       0.076	 -1.295
       0.080	 -1.280
       0.084	 -1.285
       0.088	 -1.280
       0.092	 -1.265
       0.096	 -1.245
       0.100	 -1.220
       0.104	 -1.230
       0.108	 -1.185
       0.112	 -1.150
       0.116	 -1.200
       0.120	 -1.160
       0.124	 -1.090
       0.128	 -1.090
       0.132	 -1.070
       0.136	 -1.075
       0.140	 -1.100
       0.144	 -1.025
       0.148	 -1.080
       0.152	 -1.055
       0.156	 -1.005
       0.160	 -1.025
       0.164	 -0.990
       0.168	 -0.975
       0.172	 -0.980
       0.176	 -0.960
       0.180	 -0.920
       0.184	 -0.930
       0.188	 -0.920
       0.192	 -0.910
       0.196	 -0.935
       0.200	 -0.915
       0.204	 -0.885
       0.208	 -0.880
       0.212	 -0.880
       0.216	 -0.870
       0.220	 -0.840
       0.224	 -0.785
       0.228	 -0.780
       0.232	 -0.715
       0.236	 -0.690
       0.240	 -0.645
       0.244	 -0.625
       0.248	 -0.640
       0.252	 -0.585
       0.256	 -0.485
       0.260	 -0.455
       0.264	 -0.430
       0.268	 -0.350
       0.272	 -0.320
       0.276	 -0.285
       0.280	 -0.225
       0.284	 -0.180
       0.288	 -0.095
       0.292	 -0.070
       0.296	 -0.040
       0.300	  0.005
       0.304	 -0.035
       0.308	 -0.020
       0.312	  0.045
       0.316	  0.090
       0.320	  0.140
       0.324	  0.095
       0.328	  0.065
       0.332	  0.075
       0.336	  0.110
       0.340	  0.095
       0.344	 -0.005
       0.348	  0.085
       0.352	  0.160
       0.356	  0.120
       0.360	  0.070
       0.364	  0.090
       0.368	  0.070
       0.372	  0.050
       0.376	  0.045
       0.380	  0.070
       0.384	  0.095
       0.388	  0.055
       0.392	  0.015
       0.396	 -0.005
       0.400	  0.065
       0.404	  0.050
       0.408	  0.010
       0.412	  0.010
       0.416	  0.030
       0.420	  0.020
       0.424	  0.000
       0.428	 -0.015
       0.432	  0.005
       0.436	 -0.060
       0.440	 -0.065
       0.444	 -0.040
       0.448	 -0.040
       0.452	 -0.080
       0.456	 -0.035
       0.460	 -0.070
       0.464	 -0.085
       0.468	 -0.105
       0.472	 -0.115
       0.476	 -0.035
       0.480	 -0.035
       0.484	 -0.090
       0.488	 -0.090
       0.492	 -0.130
       0.496	 -0.130
       0.500	 -0.075
       0.504	 -0.095
       0.508	 -0.105
       0.512	 -0.115
       0.516	 -0.115
       0.520	 -0.100
       0.524	 -0.120
       0.528	 -0.135
       0.532	 -0.120
       0.536	 -0.115
       0.540	 -0.180
       0.544	 -0.170
       0.548	 -0.105
       0.552	 -0.060
       0.556	 -0.090
       0.560	 -0.120
       0.564	 -0.090
       0.568	 -0.040
       0.572	 -0.040
       0.576	  0.025
       0.580	  0.035
       0.584	 -0.005
       0.588	 -0.040
       0.592	 -0.050
       0.596	 -0.050
       0.600	 -0.075
       0.604	 -0.150
       0.608	 -0.190
       0.612	 -0.230
       0.616	 -0.230
       0.620	 -0.210
       0.624	 -0.010
       0.628	  0.210
       0.632	  0.330
       0.636	  0.580
       0.640	  1.095
       0.644	  1.510
       0.648	  1.765
       0.652	  1.865
       0.656	  1.915
       0.660	  2.035
       0.664	  2.085
       0.668	  2.140
       0.672	  2.180
       0.676	  2.240
       0.680	  2.185
       0.684	  2.150
       0.688	  2.125
       0.692	  1.975
       0.696	  1.770
