Elapsed_time	ECG
       0.000	 -0.463
       0.004	 -0.460
       0.008	 -0.477
       0.012	 -0.495
       0.016	 -0.453
       0.020	 -0.445
       0.024	 -0.372
       0.028	 -0.340
       0.032	 -0.307
       0.036	 -0.307
       0.040	 -0.290
       0.044	 -0.250
       0.048	 -0.212
       0.052	 -0.220
       0.056	 -0.165
       0.060	 -0.152
       0.064	 -0.115
       0.068	 -0.100
       0.072	 -0.115
       0.076	 -0.107
       0.080	 -0.125
       0.084	 -0.072
       0.088	 -0.058
       0.092	 -0.025
       0.096	 -0.025
       0.100	  0.035
       0.104	  0.050
       0.108	  0.060
       0.112	  0.072
       0.116	  0.083
       0.120	  0.065
       0.124	  0.098
       0.128	  0.087
       0.132	  0.087
       0.136	  0.072
       0.140	  0.013
       0.144	 -0.045
       0.148	 -0.062
       0.152	 -0.147
       0.156	 -0.195
       0.160	 -0.258
       0.164	 -0.273
       0.168	 -0.333
       0.172	 -0.383
       0.176	 -0.420
       0.180	 -0.500
       0.184	 -0.562
       0.188	 -0.552
       0.192	 -0.573
       0.196	 -0.535
       0.200	 -0.527
       0.204	 -0.527
       0.208	 -0.500
       0.212	 -0.475
       0.216	 -0.482
       0.220	 -0.412
       0.224	 -0.400
       0.228	 -0.347
       0.232	 -0.312
       0.236	 -0.258
       0.240	 -0.233
       0.244	 -0.235
       0.248	 -0.220
       0.252	 -0.220
       0.256	 -0.195
       0.260	 -0.175
       0.264	 -0.165
       0.268	 -0.160
       0.272	 -0.100
       0.276	 -0.120
       0.280	 -0.090
       0.284	 -0.090
       0.288	 -0.040
       0.292	 -0.025
       0.296	  0.013
       0.300	  0.035
       0.304	  0.060
       0.308	  0.028
       0.312	  0.033
       0.316	  0.020
       0.320	  0.020
       0.324	 -0.020
       0.328	 -0.037
       0.332	 -0.083
       0.336	 -0.177
       0.340	 -0.240
       0.344	 -0.307
       0.348	 -0.360
       0.352	 -0.460
       0.356	 -0.465
       0.360	 -0.515
       0.364	 -0.545
       0.368	 -0.583
       0.372	 -0.623
       0.376	 -0.615
