Elapsed_time	ECG
       0.000	  0.035
       0.004	  0.120
       0.008	  0.205
       0.012	  0.265
       0.016	  0.315
       0.020	  0.400
       0.024	  0.485
       0.028	  0.540
       0.032	  0.585
       0.036	  0.665
       0.040	  0.740
       0.044	  0.780
       0.048	  0.775
       0.052	  0.795
       0.056	  0.815
       0.060	  0.795
       0.064	  0.750
       0.068	  0.700
       0.072	  0.670
       0.076	  0.630
       0.080	  0.595
       0.084	  0.605
       0.088	  0.675
       0.092	  0.735
       0.096	  0.785
       0.100	  0.820
       0.104	  0.850
       0.108	  0.820
       0.112	  0.740
       0.116	  0.630
       0.120	  0.570
       0.124	  0.520
       0.128	  0.460
       0.132	  0.385
       0.136	  0.340
       0.140	  0.290
       0.144	  0.225
       0.148	  0.135
       0.152	  0.100
       0.156	  0.085
       0.160	  0.050
       0.164	 -0.020
       0.168	 -0.045
       0.172	 -0.055
       0.176	 -0.080
       0.180	 -0.135
       0.184	 -0.180
       0.188	 -0.230
       0.192	 -0.315
       0.196	 -0.460
       0.200	 -0.580
       0.204	 -0.625
       0.208	 -0.630
       0.212	 -0.665
       0.216	 -0.690
       0.220	 -0.675
       0.224	 -0.665
       0.228	 -0.685
       0.232	 -0.720
       0.236	 -0.705
       0.240	 -0.680
       0.244	 -0.665
       0.248	 -0.640
       0.252	 -0.560
       0.256	 -0.445
       0.260	 -0.360
       0.264	 -0.300
       0.268	 -0.210
       0.272	 -0.100
       0.276	 -0.020
       0.280	  0.035
       0.284	  0.085
       0.288	  0.160
       0.292	  0.215
       0.296	  0.255
       0.300	  0.295
       0.304	  0.390
       0.308	  0.475
       0.312	  0.515
       0.316	  0.515
       0.320	  0.570
       0.324	  0.610
       0.328	  0.620
       0.332	  0.585
       0.336	  0.595
       0.340	  0.605
       0.344	  0.595
       0.348	  0.545
       0.352	  0.545
       0.356	  0.610
       0.360	  0.655
       0.364	  0.675
       0.368	  0.775
       0.372	  0.880
       0.376	  0.890
       0.380	  0.830
       0.384	  0.750
       0.388	  0.645
       0.392	  0.535
       0.396	  0.455
       0.400	  0.410
       0.404	  0.395
       0.408	  0.350
       0.412	  0.300
       0.416	  0.240
       0.420	  0.210
       0.424	  0.195
       0.428	  0.175
       0.432	  0.140
       0.436	  0.140
       0.440	  0.140
       0.444	  0.075
       0.448	  0.020
       0.452	  0.020
       0.456	  0.000
       0.460	 -0.145
       0.464	 -0.310
       0.468	 -0.425
       0.472	 -0.485
       0.476	 -0.525
       0.480	 -0.560
       0.484	 -0.560
       0.488	 -0.520
       0.492	 -0.480
       0.496	 -0.460
       0.500	 -0.455
       0.504	 -0.420
       0.508	 -0.380
       0.512	 -0.355
       0.516	 -0.325
       0.520	 -0.240
       0.524	 -0.155
       0.528	 -0.075
       0.532	  0.000
       0.536	  0.095
       0.540	  0.185
       0.544	  0.260
       0.548	  0.310
       0.552	  0.370
       0.556	  0.440
       0.560	  0.485
       0.564	  0.500
       0.568	  0.565
       0.572	  0.655
       0.576	  0.725
       0.580	  0.740
       0.584	  0.770
       0.588	  0.835
       0.592	  0.860
       0.596	  0.865
       0.600	  0.870
       0.604	  0.870
       0.608	  0.845
       0.612	  0.770
       0.616	  0.710
       0.620	  0.690
       0.624	  0.660
       0.628	  0.605
       0.632	  0.585
       0.636	  0.600
       0.640	  0.610
       0.644	  0.590
       0.648	  0.535
       0.652	  0.500
       0.656	  0.435
       0.660	  0.315
       0.664	  0.175
       0.668	  0.095
       0.672	  0.095
       0.676	  0.115
       0.680	  0.090
       0.684	  0.040
       0.688	  0.015
       0.692	 -0.035
       0.696	 -0.080
       0.700	 -0.130
       0.704	 -0.140
       0.708	 -0.185
       0.712	 -0.260
       0.716	 -0.340
       0.720	 -0.365
       0.724	 -0.400
       0.728	 -0.450
       0.732	 -0.530
       0.736	 -0.550
       0.740	 -0.560
       0.744	 -0.585
       0.748	 -0.610
       0.752	 -0.575
       0.756	 -0.550
       0.760	 -0.540
       0.764	 -0.545
       0.768	 -0.515
       0.772	 -0.450
       0.776	 -0.395
       0.780	 -0.355
       0.784	 -0.270
       0.788	 -0.165
       0.792	 -0.075
       0.796	  0.000
       0.800	  0.075
       0.804	  0.175
       0.808	  0.255
       0.812	  0.305
       0.816	  0.330
       0.820	  0.380
       0.824	  0.455
       0.828	  0.515
       0.832	  0.540
       0.836	  0.615
       0.840	  0.700
       0.844	  0.745
       0.848	  0.765
       0.852	  0.835
       0.856	  0.865
       0.860	  0.840
       0.864	  0.785
       0.868	  0.755
       0.872	  0.715
       0.876	  0.650
       0.880	  0.575
