   Elapsed_time	ECG
       0.000	 -0.510
       0.004	 -0.520
       0.008	 -0.515
       0.012	 -0.530
       0.016	 -0.540
       0.020	 -0.545
       0.024	 -0.545
       0.028	 -0.565
       0.032	 -0.565
       0.036	 -0.545
       0.040	 -0.545
       0.044	 -0.530
       0.048	 -0.525
       0.052	 -0.540
       0.056	 -0.540
       0.060	 -0.495
       0.064	 -0.490
       0.068	 -0.520
       0.072	 -0.540
       0.076	 -0.560
       0.080	 -0.570
       0.084	 -0.565
       0.088	 -0.605
       0.092	 -0.690
       0.096	 -0.790
       0.100	 -0.815
       0.104	 -0.855
       0.108	 -0.885
       0.112	 -0.890
       0.116	 -0.870
       0.120	 -0.875
       0.124	 -0.955
       0.128	 -1.120
       0.132	 -1.280
       0.136	 -1.365
       0.140	 -1.440
       0.144	 -1.625
       0.148	 -1.905
       0.152	 -2.195
       0.156	 -2.360
       0.160	 -2.395
       0.164	 -2.335
       0.168	 -2.315
       0.172	 -2.325
       0.176	 -2.195
       0.180	 -2.000
       0.184	 -1.830
       0.188	 -1.690
       0.192	 -1.550
       0.196	 -1.435
       0.200	 -1.310
       0.204	 -1.175
       0.208	 -1.050
       0.212	 -0.960
       0.216	 -0.860
       0.220	 -0.760
       0.224	 -0.665
       0.228	 -0.600
       0.232	 -0.545
       0.236	 -0.490
       0.240	 -0.435
       0.244	 -0.410
       0.248	 -0.400
       0.252	 -0.385
       0.256	 -0.345
       0.260	 -0.320
       0.264	 -0.320
       0.268	 -0.290
       0.272	 -0.260
       0.276	 -0.255
       0.280	 -0.235
       0.284	 -0.210
       0.288	 -0.200
       0.292	 -0.190
       0.296	 -0.190
       0.300	 -0.185
       0.304	 -0.185
       0.308	 -0.180
       0.312	 -0.180
       0.316	 -0.180
       0.320	 -0.185
       0.324	 -0.210
       0.328	 -0.220
       0.332	 -0.210
       0.336	 -0.205
       0.340	 -0.240
       0.344	 -0.250
       0.348	 -0.250
       0.352	 -0.260
       0.356	 -0.285
       0.360	 -0.290
       0.364	 -0.335
       0.368	 -0.365
       0.372	 -0.385
       0.376	 -0.390
       0.380	 -0.425
       0.384	 -0.455
       0.388	 -0.470
       0.392	 -0.455
       0.396	 -0.475
       0.400	 -0.495
       0.404	 -0.530
       0.408	 -0.545
       0.412	 -0.530
       0.416	 -0.470
       0.420	 -0.440
       0.424	 -0.430
       0.428	 -0.420
       0.432	 -0.380
       0.436	 -0.385
       0.440	 -0.395
       0.444	 -0.400
       0.448	 -0.435
       0.452	 -0.465
       0.456	 -0.465
       0.460	 -0.465
       0.464	 -0.510
       0.468	 -0.585
       0.472	 -0.655
       0.476	 -0.685
       0.480	 -0.730
       0.484	 -0.765
       0.488	 -0.810
       0.492	 -0.895
       0.496	 -0.970
       0.500	 -1.015
       0.504	 -1.040
       0.508	 -1.060
       0.512	 -1.080
       0.516	 -1.085
       0.520	 -1.100
       0.524	 -1.115
       0.528	 -1.130
       0.532	 -1.150
       0.536	 -1.155
       0.540	 -1.165
       0.544	 -1.165
       0.548	 -1.175
       0.552	 -1.180
       0.556	 -1.180
       0.560	 -1.175
       0.564	 -1.200
       0.568	 -1.220
       0.572	 -1.230
       0.576	 -1.195
       0.580	 -1.195
       0.584	 -1.215
       0.588	 -1.225
       0.592	 -1.240
       0.596	 -1.255
       0.600	 -1.235
       0.604	 -1.290
       0.608	 -1.325
       0.612	 -1.360
       0.616	 -1.375
       0.620	 -1.410
       0.624	 -1.480
       0.628	 -1.610
       0.632	 -1.695
       0.636	 -1.720
       0.640	 -1.755
       0.644	 -1.785
       0.648	 -1.790
       0.652	 -1.765
       0.656	 -1.770
       0.660	 -1.860
       0.664	 -2.065
       0.668	 -2.255
       0.672	 -2.380
       0.676	 -2.445
       0.680	 -2.635
       0.684	 -2.920
       0.688	 -3.190
       0.692	 -3.335
       0.696	 -3.340
       0.700	 -3.215
       0.704	 -3.155
       0.708	 -3.110
       0.712	 -2.970
       0.716	 -2.760
       0.720	 -2.570
       0.724	 -2.410
       0.728	 -2.260
       0.732	 -2.140
       0.736	 -2.020
