Elapsed_time	ECG
       0.000	  1.080
       0.004	  1.155
       0.008	  1.100
       0.012	  0.995
       0.016	  0.995
       0.020	  1.000
       0.024	  1.020
       0.028	  1.035
       0.032	  1.010
       0.036	  0.905
       0.040	  0.855
       0.044	  0.745
       0.048	  0.625
       0.052	  0.530
       0.056	  0.410
       0.060	  0.255
       0.064	  0.175
       0.068	  0.160
       0.072	  0.180
       0.076	  0.145
       0.080	  0.135
       0.084	  0.125
       0.088	  0.060
       0.092	  0.100
       0.096	  0.145
       0.100	  0.155
       0.104	  0.130
       0.108	  0.095
       0.112	  0.015
       0.116	  0.035
       0.120	  0.060
       0.124	  0.055
       0.128	  0.045
       0.132	  0.060
       0.136	  0.035
       0.140	  0.075
       0.144	  0.105
       0.148	  0.110
       0.152	  0.125
       0.156	  0.145
       0.160	  0.210
       0.164	  0.215
       0.168	  0.175
       0.172	  0.200
       0.176	  0.190
       0.180	  0.180
       0.184	  0.210
       0.188	  0.265
       0.192	  0.290
       0.196	  0.275
       0.200	  0.270
       0.204	  0.275
       0.208	  0.325
       0.212	  0.320
       0.216	  0.320
       0.220	  0.310
       0.224	  0.360
       0.228	  0.445
       0.232	  0.495
       0.236	  0.440
       0.240	  0.425
       0.244	  0.425
       0.248	  0.445
       0.252	  0.455
       0.256	  0.370
       0.260	  0.315
       0.264	  0.355
       0.268	  0.385
       0.272	  0.320
       0.276	  0.260
       0.280	  0.240
       0.284	  0.255
       0.288	  0.260
       0.292	  0.275
       0.296	  0.200
       0.300	  0.155
       0.304	  0.095
       0.308	  0.100
       0.312	  0.085
       0.316	  0.095
       0.320	  0.115
       0.324	  0.135
       0.328	  0.105
       0.332	  0.120
       0.336	  0.140
       0.340	  0.175
       0.344	  0.190
       0.348	  0.240
       0.352	  0.265
       0.356	  0.305
       0.360	  0.305
       0.364	  0.275
       0.368	  0.245
       0.372	  0.225
       0.376	  0.270
       0.380	  0.355
       0.384	  0.395
       0.388	  0.415
       0.392	  0.425
       0.396	  0.395
       0.400	  0.355
       0.404	  0.360
       0.408	  0.430
       0.412	  0.485
       0.416	  0.565
       0.420	  0.705
       0.424	  0.815
       0.428	  0.885
       0.432	  1.030
       0.436	  1.195
       0.440	  1.285
       0.444	  1.315
       0.448	  1.375
       0.452	  1.425
       0.456	  1.450
       0.460	  1.435
       0.464	  1.395
       0.468	  1.360
       0.472	  1.270
       0.476	  1.180
       0.480	  1.090
       0.484	  0.990
       0.488	  0.940
       0.492	  0.950
       0.496	  0.965
       0.500	  0.995
       0.504	  1.025
       0.508	  1.000
       0.512	  0.885
       0.516	  0.870
       0.520	  0.925
       0.524	  0.925
       0.528	  0.875
       0.532	  0.900
       0.536	  0.890
       0.540	  0.760
       0.544	  0.655
       0.548	  0.565
       0.552	  0.420
