Elapsed_time	ECG
       0.000	 -0.260
       0.004	 -0.250
       0.008	 -0.235
       0.012	 -0.230
       0.016	 -0.230
       0.020	 -0.235
       0.024	 -0.240
       0.028	 -0.235
       0.032	 -0.225
       0.036	 -0.215
       0.040	 -0.205
       0.044	 -0.190
       0.048	 -0.170
       0.052	 -0.125
       0.056	 -0.095
       0.060	 -0.060
       0.064	 -0.020
       0.068	  0.040
       0.072	  0.080
       0.076	  0.150
       0.080	  0.200
       0.084	  0.250
       0.088	  0.280
       0.092	  0.345
       0.096	  0.415
       0.100	  0.480
       0.104	  0.510
       0.108	  0.560
       0.112	  0.600
       0.116	  0.640
       0.120	  0.640
       0.124	  0.630
       0.128	  0.610
       0.132	  0.615
       0.136	  0.645
       0.140	  0.675
       0.144	  0.665
       0.148	  0.620
       0.152	  0.560
       0.156	  0.515
       0.160	  0.480
       0.164	  0.445
       0.168	  0.395
       0.172	  0.310
       0.176	  0.220
       0.180	  0.135
       0.184	  0.040
       0.188	 -0.045
       0.192	 -0.045
       0.196	  0.000
       0.200	 -0.025
       0.204	 -0.020
       0.208	  0.000
       0.212	 -0.030
       0.216	 -0.025
       0.220	 -0.030
       0.224	 -0.060
       0.228	 -0.080
       0.232	 -0.090
       0.236	 -0.100
       0.240	 -0.110
       0.244	 -0.125
       0.248	 -0.135
       0.252	 -0.135
       0.256	 -0.125
       0.260	 -0.105
       0.264	 -0.105
       0.268	 -0.090
       0.272	 -0.070
       0.276	 -0.040
       0.280	 -0.030
       0.284	 -0.015
       0.288	 -0.040
       0.292	 -0.040
       0.296	 -0.035
       0.300	 -0.035
       0.304	 -0.065
       0.308	 -0.045
       0.312	  0.015
       0.316	  0.100
       0.320	  0.160
       0.324	  0.255
       0.328	  0.305
       0.332	  0.355
       0.336	  0.395
       0.340	  0.450
       0.344	  0.475
       0.348	  0.475
       0.352	  0.475
       0.356	  0.495
       0.360	  0.505
       0.364	  0.535
       0.368	  0.570
       0.372	  0.560
       0.376	  0.570
       0.380	  0.585
       0.384	  0.600
       0.388	  0.570
       0.392	  0.540
       0.396	  0.510
       0.400	  0.470
       0.404	  0.440
       0.408	  0.415
       0.412	  0.380
       0.416	  0.350
       0.420	  0.335
       0.424	  0.300
       0.428	  0.240
       0.432	  0.210
