Elapsed_time	ECG
       0.000	 -0.195
       0.004	 -0.200
       0.008	 -0.203
       0.012	 -0.203
       0.016	 -0.203
       0.020	 -0.203
       0.024	 -0.203
       0.028	 -0.200
       0.032	 -0.207
       0.036	 -0.207
       0.040	 -0.210
       0.044	 -0.210
       0.048	 -0.212
       0.052	 -0.210
       0.056	 -0.215
       0.060	 -0.215
       0.064	 -0.215
       0.068	 -0.210
       0.072	 -0.210
       0.076	 -0.207
       0.080	 -0.205
       0.084	 -0.198
       0.088	 -0.193
       0.092	 -0.188
       0.096	 -0.180
       0.100	 -0.172
       0.104	 -0.170
       0.108	 -0.163
       0.112	 -0.163
       0.116	 -0.160
       0.120	 -0.160
       0.124	 -0.155
       0.128	 -0.155
       0.132	 -0.155
       0.136	 -0.160
       0.140	 -0.163
       0.144	 -0.163
       0.148	 -0.165
       0.152	 -0.163
       0.156	 -0.163
       0.160	 -0.163
       0.164	 -0.160
       0.168	 -0.158
       0.172	 -0.158
       0.176	 -0.158
       0.180	 -0.163
       0.184	 -0.163
       0.188	 -0.163
       0.192	 -0.155
       0.196	 -0.145
       0.200	 -0.140
       0.204	 -0.138
       0.208	 -0.133
       0.212	 -0.130
       0.216	 -0.128
       0.220	 -0.125
       0.224	 -0.107
       0.228	 -0.083
       0.232	 -0.055
       0.236	 -0.013
       0.240	  0.048
       0.244	  0.102
       0.248	  0.155
       0.252	  0.210
       0.256	  0.268
       0.260	  0.325
       0.264	  0.383
       0.268	  0.440
       0.272	  0.487
       0.276	  0.545
       0.280	  0.598
       0.284	  0.642
       0.288	  0.662
       0.292	  0.635
       0.296	  0.547
       0.300	  0.393
       0.304	  0.142
       0.308	 -0.163
       0.312	 -0.463
       0.316	 -0.725
       0.320	 -0.935
       0.324	 -1.077
       0.328	 -1.183
       0.332	 -1.260
       0.336	 -1.310
       0.340	 -1.337
       0.344	 -1.347
       0.348	 -1.353
       0.352	 -1.350
       0.356	 -1.345
       0.360	 -1.333
       0.364	 -1.308
       0.368	 -1.270
       0.372	 -1.230
       0.376	 -1.183
       0.380	 -1.137
       0.384	 -1.090
       0.388	 -1.042
       0.392	 -0.988
       0.396	 -0.935
       0.400	 -0.875
       0.404	 -0.807
       0.408	 -0.720
       0.412	 -0.627
       0.416	 -0.525
       0.420	 -0.412
       0.424	 -0.292
       0.428	 -0.170
       0.432	 -0.072
       0.436	  0.007
       0.440	  0.060
       0.444	  0.100
       0.448	  0.125
       0.452	  0.147
       0.456	  0.163
       0.460	  0.180
       0.464	  0.193
       0.468	  0.207
       0.472	  0.215
       0.476	  0.228
       0.480	  0.235
       0.484	  0.245
       0.488	  0.250
       0.492	  0.255
       0.496	  0.258
       0.500	  0.260
       0.504	  0.260
       0.508	  0.263
       0.512	  0.260
       0.516	  0.255
       0.520	  0.250
       0.524	  0.245
       0.528	  0.242
       0.532	  0.235
       0.536	  0.228
       0.540	  0.220
       0.544	  0.210
       0.548	  0.200
       0.552	  0.193
       0.556	  0.177
       0.560	  0.170
       0.564	  0.155
       0.568	  0.147
       0.572	  0.133
       0.576	  0.122
       0.580	  0.110
       0.584	  0.100
       0.588	  0.087
       0.592	  0.075
       0.596	  0.065
       0.600	  0.052
       0.604	  0.040
       0.608	  0.028
       0.612	  0.015
       0.616	  0.003
       0.620	 -0.015
       0.624	 -0.022
       0.628	 -0.033
       0.632	 -0.045
       0.636	 -0.052
       0.640	 -0.065
       0.644	 -0.070
       0.648	 -0.080
       0.652	 -0.087
       0.656	 -0.098
       0.660	 -0.100
       0.664	 -0.105
       0.668	 -0.107
       0.672	 -0.115
       0.676	 -0.117
       0.680	 -0.125
       0.684	 -0.125
       0.688	 -0.133
