Elapsed_time	ECG
       0.000	  0.853
       0.004	  0.882
       0.008	  0.897
       0.012	  0.905
       0.016	  0.907
       0.020	  0.895
       0.024	  0.818
       0.028	  0.665
       0.032	  0.450
       0.036	  0.223
       0.040	 -0.010
       0.044	 -0.235
       0.048	 -0.455
       0.052	 -0.645
       0.056	 -0.807
       0.060	 -0.948
       0.064	 -1.060
       0.068	 -1.160
       0.072	 -1.252
       0.076	 -1.312
       0.080	 -1.325
       0.084	 -1.323
       0.088	 -1.280
       0.092	 -1.220
       0.096	 -1.160
       0.100	 -1.123
       0.104	 -1.100
       0.108	 -1.080
       0.112	 -1.048
       0.116	 -1.015
       0.120	 -0.953
       0.124	 -0.877
       0.128	 -0.797
       0.132	 -0.728
       0.136	 -0.657
       0.140	 -0.588
       0.144	 -0.502
       0.148	 -0.410
       0.152	 -0.318
       0.156	 -0.245
       0.160	 -0.195
       0.164	 -0.150
       0.168	 -0.107
       0.172	 -0.060
       0.176	 -0.020
       0.180	  0.025
       0.184	  0.045
       0.188	  0.065
       0.192	  0.083
       0.196	  0.110
       0.200	  0.147
       0.204	  0.203
       0.208	  0.268
       0.212	  0.340
       0.216	  0.425
       0.220	  0.530
       0.224	  0.645
       0.228	  0.755
       0.232	  0.840
       0.236	  0.920
       0.240	  0.980
       0.244	  1.012
       0.248	  1.022
       0.252	  1.018
       0.256	  0.998
       0.260	  0.958
       0.264	  0.920
       0.268	  0.892
       0.272	  0.880
       0.276	  0.873
       0.280	  0.873
       0.284	  0.865
       0.288	  0.845
       0.292	  0.805
       0.296	  0.750
       0.300	  0.685
       0.304	  0.635
       0.308	  0.598
       0.312	  0.573
       0.316	  0.542
       0.320	  0.500
       0.324	  0.448
       0.328	  0.403
       0.332	  0.365
       0.336	  0.343
       0.340	  0.330
       0.344	  0.312
       0.348	  0.285
       0.352	  0.253
       0.356	  0.200
       0.360	  0.140
       0.364	  0.092
       0.368	  0.065
       0.372	  0.050
       0.376	  0.045
       0.380	  0.045
       0.384	  0.028
       0.388	 -0.010
       0.392	 -0.037
       0.396	 -0.068
       0.400	 -0.100
       0.404	 -0.120
       0.408	 -0.140
       0.412	 -0.147
       0.416	 -0.160
       0.420	 -0.163
       0.424	 -0.165
       0.428	 -0.168
       0.432	 -0.175
       0.436	 -0.172
       0.440	 -0.180
       0.444	 -0.188
       0.448	 -0.205
       0.452	 -0.228
       0.456	 -0.245
       0.460	 -0.255
       0.464	 -0.263
       0.468	 -0.255
       0.472	 -0.237
       0.476	 -0.225
       0.480	 -0.220
       0.484	 -0.228
       0.488	 -0.240
       0.492	 -0.247
       0.496	 -0.247
       0.500	 -0.253
       0.504	 -0.255
       0.508	 -0.253
       0.512	 -0.240
       0.516	 -0.223
       0.520	 -0.195
       0.524	 -0.177
       0.528	 -0.168
       0.532	 -0.172
       0.536	 -0.188
       0.540	 -0.220
