Elapsed_time	ECG
       0.000	 -0.180
       0.004	 -0.125
       0.008	 -0.102
       0.012	 -0.110
       0.016	 -0.110
       0.020	 -0.090
       0.024	 -0.055
       0.028	  0.000
       0.032	  0.043
       0.036	  0.075
       0.040	  0.100
       0.044	  0.130
       0.048	  0.158
       0.052	  0.168
       0.056	  0.147
       0.060	  0.107
       0.064	  0.058
       0.068	  0.020
       0.072	 -0.020
       0.076	 -0.035
       0.080	 -0.043
       0.084	 -0.035
       0.088	 -0.043
       0.092	 -0.037
       0.096	 -0.035
       0.100	 -0.025
       0.104	 -0.020
       0.108	 -0.020
       0.112	 -0.028
       0.116	 -0.030
       0.120	 -0.035
       0.124	 -0.020
       0.128	  0.007
       0.132	  0.052
       0.136	  0.135
       0.140	  0.278
       0.144	  0.468
       0.148	  0.660
       0.152	  0.833
       0.156	  0.973
       0.160	  1.100
       0.164	  1.245
       0.168	  1.393
       0.172	  1.482
       0.176	  1.455
       0.180	  1.300
       0.184	  1.032
       0.188	  0.677
       0.192	  0.302
       0.196	 -0.035
       0.200	 -0.300
       0.204	 -0.485
       0.208	 -0.615
       0.212	 -0.675
       0.216	 -0.640
       0.220	 -0.542
       0.224	 -0.410
       0.228	 -0.295
       0.232	 -0.220
       0.236	 -0.182
       0.240	 -0.152
       0.244	 -0.113
       0.248	 -0.080
       0.252	 -0.045
       0.256	 -0.015
       0.260	  0.018
       0.264	  0.020
       0.268	  0.030
       0.272	  0.062
       0.276	  0.092
       0.280	  0.107
       0.284	  0.107
       0.288	  0.090
       0.292	  0.092
       0.296	  0.102
       0.300	  0.117
       0.304	  0.125
       0.308	  0.135
       0.312	  0.135
       0.316	  0.147
       0.320	  0.155
       0.324	  0.165
       0.328	  0.180
       0.332	  0.193
       0.336	  0.210
       0.340	  0.237
       0.344	  0.285
       0.348	  0.345
       0.352	  0.410
       0.356	  0.482
       0.360	  0.580
       0.364	  0.715
       0.368	  0.850
       0.372	  0.943
       0.376	  1.005
       0.380	  1.073
       0.384	  1.170
       0.388	  1.320
       0.392	  1.450
       0.396	  1.458
       0.400	  1.292
       0.404	  1.032
       0.408	  0.762
       0.412	  0.440
       0.416	  0.145
       0.420	 -0.120
       0.424	 -0.333
       0.428	 -0.438
       0.432	 -0.487
       0.436	 -0.505
       0.440	 -0.497
       0.444	 -0.468
       0.448	 -0.420
       0.452	 -0.347
       0.456	 -0.282
       0.460	 -0.228
       0.464	 -0.195
       0.468	 -0.182
       0.472	 -0.165
       0.476	 -0.130
       0.480	 -0.117
       0.484	 -0.130
       0.488	 -0.155
       0.492	 -0.158
       0.496	 -0.147
       0.500	 -0.092
       0.504	 -0.015
       0.508	  0.083
       0.512	  0.152
       0.516	  0.200
       0.520	  0.230
       0.524	  0.240
       0.528	  0.250
       0.532	  0.258
       0.536	  0.265
       0.540	  0.273
       0.544	  0.282
       0.548	  0.300
       0.552	  0.320
       0.556	  0.333
       0.560	  0.360
       0.564	  0.405
       0.568	  0.460
       0.572	  0.525
       0.576	  0.615
       0.580	  0.735
       0.584	  0.877
       0.588	  0.990
       0.592	  1.060
       0.596	  1.100
       0.600	  1.143
       0.604	  1.218
       0.608	  1.335
       0.612	  1.433
       0.616	  1.433
       0.620	  1.320
       0.624	  1.103
       0.628	  0.805
       0.632	  0.477
       0.636	  0.190
       0.640	 -0.065
       0.644	 -0.240
       0.648	 -0.355
       0.652	 -0.415
       0.656	 -0.448
       0.660	 -0.455
       0.664	 -0.443
       0.668	 -0.422
       0.672	 -0.412
       0.676	 -0.388
       0.680	 -0.357
       0.684	 -0.320
       0.688	 -0.275
       0.692	 -0.230
       0.696	 -0.207
       0.700	 -0.217
       0.704	 -0.263
       0.708	 -0.305
       0.712	 -0.318
       0.716	 -0.282
       0.720	 -0.220
       0.724	 -0.155
       0.728	 -0.090
       0.732	 -0.028
       0.736	  0.055
       0.740	  0.120
       0.744	  0.172
       0.748	  0.203
       0.752	  0.212
       0.756	  0.220
       0.760	  0.230
       0.764	  0.230
       0.768	  0.228
       0.772	  0.220
       0.776	  0.223
       0.780	  0.223
       0.784	  0.217
       0.788	  0.217
       0.792	  0.237
       0.796	  0.278
       0.800	  0.350
       0.804	  0.465
       0.808	  0.615
       0.812	  0.770
       0.816	  0.905
       0.820	  1.010
       0.824	  1.110
       0.828	  1.235
       0.832	  1.390
       0.836	  1.528
       0.840	  1.577
       0.844	  1.520
       0.848	  1.335
       0.852	  1.048
       0.856	  0.725
       0.860	  0.422
       0.864	  0.172
       0.868	 -0.028
       0.872	 -0.168
       0.876	 -0.263
       0.880	 -0.323
       0.884	 -0.355
       0.888	 -0.360
       0.892	 -0.357
       0.896	 -0.347
       0.900	 -0.333
       0.904	 -0.305
       0.908	 -0.273
       0.912	 -0.237
       0.916	 -0.220
       0.920	 -0.200
       0.924	 -0.207
       0.928	 -0.250
       0.932	 -0.292
       0.936	 -0.318
       0.940	 -0.290
       0.944	 -0.228
       0.948	 -0.145
       0.952	 -0.058
       0.956	  0.035
       0.960	  0.117
       0.964	  0.190
       0.968	  0.247
       0.972	  0.282
       0.976	  0.302
       0.980	  0.323
       0.984	  0.340
       0.988	  0.350
       0.992	  0.355
       0.996	  0.355
       1.000	  0.360
       1.004	  0.388
       1.008	  0.448
       1.012	  0.515
       1.016	  0.578
       1.020	  0.615
       1.024	  0.652
       1.028	  0.713
       1.032	  0.797
       1.036	  0.890
       1.040	  0.943
       1.044	  0.907
       1.048	  0.777
       1.052	  0.552
       1.056	  0.290
       1.060	  0.055
       1.064	 -0.125
       1.068	 -0.217
       1.072	 -0.245
       1.076	 -0.245
       1.080	 -0.245
       1.084	 -0.237
       1.088	 -0.230
       1.092	 -0.217
       1.096	 -0.200
       1.100	 -0.182
       1.104	 -0.175
       1.108	 -0.175
       1.112	 -0.168
       1.116	 -0.138
       1.120	 -0.080
       1.124	 -0.018
       1.128	  0.035
       1.132	  0.037
       1.136	  0.010
       1.140	 -0.030
       1.144	 -0.045
       1.148	 -0.025
       1.152	  0.035
       1.156	  0.098
       1.160	  0.165
       1.164	  0.240
       1.168	  0.320
       1.172	  0.412
       1.176	  0.497
       1.180	  0.568
       1.184	  0.615
       1.188	  0.647
       1.192	  0.667
       1.196	  0.680
       1.200	  0.688
       1.204	  0.690
       1.208	  0.690
       1.212	  0.703
       1.216	  0.730
       1.220	  0.790
       1.224	  0.877
       1.228	  0.960
       1.232	  1.005
       1.236	  1.018
       1.240	  1.025
       1.244	  1.048
       1.248	  1.100
       1.252	  1.155
       1.256	  1.135
       1.260	  1.000
       1.264	  0.770
       1.268	  0.477
       1.272	  0.217
       1.276	  0.025
       1.280	 -0.125
       1.284	 -0.210
       1.288	 -0.263
       1.292	 -0.285
       1.296	 -0.292
       1.300	 -0.282
       1.304	 -0.278
       1.308	 -0.268
       1.312	 -0.255
       1.316	 -0.235
       1.320	 -0.223
       1.324	 -0.228
       1.328	 -0.230
       1.332	 -0.228
       1.336	 -0.207
       1.340	 -0.185
       1.344	 -0.175
       1.348	 -0.190
       1.352	 -0.212
       1.356	 -0.237
       1.360	 -0.237
       1.364	 -0.223
       1.368	 -0.182
       1.372	 -0.128
       1.376	 -0.045
       1.380	  0.065
       1.384	  0.185
       1.388	  0.302
       1.392	  0.412
       1.396	  0.492
       1.400	  0.552
       1.404	  0.588
       1.408	  0.615
       1.412	  0.640
       1.416	  0.677
       1.420	  0.715
       1.424	  0.745
       1.428	  0.772
       1.432	  0.823
       1.436	  0.895
       1.440	  0.998
       1.444	  1.062
       1.448	  1.093
       1.452	  1.125
       1.456	  1.180
       1.460	  1.262
       1.464	  1.350
       1.468	  1.347
       1.472	  1.238
       1.476	  0.993
       1.480	  0.667
       1.484	  0.330
       1.488	  0.015
       1.492	 -0.190
       1.496	 -0.312
       1.500	 -0.383
       1.504	 -0.405
       1.508	 -0.395
