Elapsed_time	ECG
       0.000	 -0.375
       0.004	 -0.345
       0.008	 -0.290
       0.012	 -0.215
       0.016	 -0.207
       0.020	 -0.203
       0.024	 -0.217
       0.028	 -0.278
       0.032	 -0.300
       0.036	 -0.305
       0.040	 -0.260
       0.044	 -0.233
       0.048	 -0.247
       0.052	 -0.188
       0.056	 -0.098
       0.060	  0.035
       0.064	  0.133
       0.068	  0.170
       0.072	  0.185
       0.076	  0.185
       0.080	  0.172
       0.084	  0.193
       0.088	  0.260
       0.092	  0.312
       0.096	  0.312
       0.100	  0.278
       0.104	  0.275
       0.108	  0.292
       0.112	  0.312
       0.116	  0.275
       0.120	  0.225
       0.124	  0.170
       0.128	  0.195
       0.132	  0.237
       0.136	  0.237
       0.140	  0.193
       0.144	  0.158
       0.148	  0.165
       0.152	  0.177
       0.156	  0.163
       0.160	  0.150
       0.164	  0.113
       0.168	  0.090
       0.172	  0.087
       0.176	  0.113
       0.180	  0.155
       0.184	  0.207
       0.188	  0.233
       0.192	  0.230
       0.196	  0.163
       0.200	  0.080
       0.204	  0.043
       0.208	  0.028
       0.212	  0.058
       0.216	  0.087
       0.220	  0.072
       0.224	  0.035
       0.228	  0.037
       0.232	  0.068
       0.236	  0.147
       0.240	  0.237
       0.244	  0.253
       0.248	  0.255
       0.252	  0.275
       0.256	  0.372
       0.260	  0.623
       0.264	  0.833
       0.268	  1.020
       0.272	  1.215
       0.276	  1.455
       0.280	  1.573
       0.284	  1.528
       0.288	  1.310
       0.292	  0.875
       0.296	  0.552
       0.300	  0.432
       0.304	  0.440
       0.308	  0.448
       0.312	  0.435
       0.316	  0.510
       0.320	  0.440
       0.324	  0.120
       0.328	 -0.268
       0.332	 -0.627
       0.336	 -0.807
       0.340	 -0.838
       0.344	 -0.823
       0.348	 -0.802
       0.352	 -0.765
       0.356	 -0.630
       0.360	 -0.458
       0.364	 -0.465
       0.368	 -0.530
       0.372	 -0.560
       0.376	 -0.575
       0.380	 -0.562
       0.384	 -0.537
       0.388	 -0.560
       0.392	 -0.560
       0.396	 -0.540
       0.400	 -0.545
       0.404	 -0.540
       0.408	 -0.517
       0.412	 -0.487
       0.416	 -0.477
       0.420	 -0.507
       0.424	 -0.547
       0.428	 -0.552
       0.432	 -0.545
       0.436	 -0.507
       0.440	 -0.398
       0.444	 -0.338
       0.448	 -0.383
       0.452	 -0.427
       0.456	 -0.470
       0.460	 -0.412
       0.464	 -0.260
       0.468	 -0.090
       0.472	  0.020
       0.476	  0.052
       0.480	  0.072
       0.484	  0.155
       0.488	  0.282
       0.492	  0.395
       0.496	  0.455
       0.500	  0.472
       0.504	  0.432
       0.508	  0.357
       0.512	  0.290
       0.516	  0.285
       0.520	  0.328
       0.524	  0.343
       0.528	  0.307
       0.532	  0.237
       0.536	  0.203
       0.540	  0.247
       0.544	  0.282
       0.548	  0.245
       0.552	  0.180
       0.556	  0.117
       0.560	  0.142
       0.564	  0.215
       0.568	  0.255
       0.572	  0.230
       0.576	  0.195
       0.580	  0.207
       0.584	  0.185
       0.588	  0.110
       0.592	  0.060
       0.596	  0.075
       0.600	  0.125
       0.604	  0.312
       0.608	  0.578
       0.612	  0.772
       0.616	  0.877
       0.620	  0.950
       0.624	  0.960
       0.628	  0.927
       0.632	  0.875
       0.636	  0.762
       0.640	  0.657
       0.644	  0.552
       0.648	  0.427
       0.652	  0.338
       0.656	  0.282
       0.660	  0.268
       0.664	  0.448
       0.668	  0.645
       0.672	  0.672
       0.676	  0.405
       0.680	  0.052
       0.684	 -0.245
       0.688	 -0.507
       0.692	 -0.660
       0.696	 -0.718
       0.700	 -0.718
       0.704	 -0.635
       0.708	 -0.530
       0.712	 -0.440
       0.716	 -0.427
       0.720	 -0.427
       0.724	 -0.388
       0.728	 -0.315
       0.732	 -0.263
