Elapsed_time	ECG
       0.000	 -0.440
       0.004	 -0.440
       0.008	 -0.435
       0.012	 -0.435
       0.016	 -0.425
       0.020	 -0.405
       0.024	 -0.385
       0.028	 -0.375
       0.032	 -0.340
       0.036	 -0.310
       0.040	 -0.265
       0.044	 -0.225
       0.048	 -0.180
       0.052	 -0.160
       0.056	 -0.145
       0.060	 -0.120
       0.064	 -0.085
       0.068	 -0.060
       0.072	  0.005
       0.076	  0.020
       0.080	  0.035
       0.084	  0.055
       0.088	  0.080
       0.092	  0.095
       0.096	  0.105
       0.100	  0.095
       0.104	  0.100
       0.108	  0.110
       0.112	  0.115
       0.116	  0.125
       0.120	  0.150
       0.124	  0.160
       0.128	  0.160
       0.132	  0.165
       0.136	  0.175
       0.140	  0.190
       0.144	  0.195
       0.148	  0.210
       0.152	  0.210
       0.156	  0.210
       0.160	  0.200
       0.164	  0.205
       0.168	  0.210
       0.172	  0.220
       0.176	  0.230
       0.180	  0.245
       0.184	  0.260
       0.188	  0.270
       0.192	  0.270
       0.196	  0.265
       0.200	  0.260
       0.204	  0.270
       0.208	  0.280
       0.212	  0.280
       0.216	  0.280
       0.220	  0.285
       0.224	  0.295
       0.228	  0.295
       0.232	  0.305
       0.236	  0.305
       0.240	  0.315
       0.244	  0.310
       0.248	  0.310
       0.252	  0.295
       0.256	  0.295
       0.260	  0.300
       0.264	  0.310
       0.268	  0.315
       0.272	  0.330
       0.276	  0.335
       0.280	  0.330
       0.284	  0.330
       0.288	  0.345
       0.292	  0.370
       0.296	  0.385
       0.300	  0.385
       0.304	  0.400
       0.308	  0.415
       0.312	  0.445
       0.316	  0.475
       0.320	  0.495
       0.324	  0.500
       0.328	  0.495
       0.332	  0.495
       0.336	  0.495
       0.340	  0.485
       0.344	  0.455
       0.348	  0.435
       0.352	  0.395
       0.356	  0.355
       0.360	  0.310
       0.364	  0.265
       0.368	  0.235
       0.372	  0.220
       0.376	  0.215
       0.380	  0.205
       0.384	  0.190
       0.388	  0.190
       0.392	  0.190
       0.396	  0.195
       0.400	  0.205
       0.404	  0.225
       0.408	  0.230
       0.412	  0.220
       0.416	  0.200
       0.420	  0.205
       0.424	  0.220
       0.428	  0.215
       0.432	  0.225
       0.436	  0.190
       0.440	  0.075
       0.444	 -0.165
       0.448	 -0.365
       0.452	 -0.530
       0.456	 -0.615
       0.460	 -0.510
       0.464	 -0.200
       0.468	  0.255
       0.472	  0.710
       0.476	  1.120
       0.480	  1.495
       0.484	  1.650
       0.488	  1.515
       0.492	  1.195
       0.496	  0.810
       0.500	  0.490
       0.504	  0.330
       0.508	  0.245
       0.512	  0.175
       0.516	  0.160
       0.520	  0.235
       0.524	  0.330
       0.528	  0.360
       0.532	  0.335
       0.536	  0.310
       0.540	  0.300
       0.544	  0.285
       0.548	  0.275
       0.552	  0.260
       0.556	  0.280
       0.560	  0.290
       0.564	  0.290
       0.568	  0.280
       0.572	  0.290
       0.576	  0.290
       0.580	  0.285
       0.584	  0.275
       0.588	  0.280
       0.592	  0.275
       0.596	  0.265
       0.600	  0.255
       0.604	  0.265
       0.608	  0.270
       0.612	  0.265
       0.616	  0.245
       0.620	  0.245
       0.624	  0.240
       0.628	  0.235
       0.632	  0.230
       0.636	  0.220
       0.640	  0.220
       0.644	  0.200
       0.648	  0.190
       0.652	  0.180
       0.656	  0.180
       0.660	  0.165
       0.664	  0.155
       0.668	  0.135
       0.672	  0.130
       0.676	  0.115
       0.680	  0.100
       0.684	  0.085
       0.688	  0.065
       0.692	  0.035
       0.696	  0.000
       0.700	 -0.080
       0.704	 -0.115
       0.708	 -0.140
       0.712	 -0.165
       0.716	 -0.185
       0.720	 -0.210
       0.724	 -0.235
       0.728	 -0.275
       0.732	 -0.310
       0.736	 -0.340
       0.740	 -0.370
       0.744	 -0.400
       0.748	 -0.415
       0.752	 -0.430
       0.756	 -0.435
       0.760	 -0.440
       0.764	 -0.435
       0.768	 -0.430
       0.772	 -0.415
       0.776	 -0.395
       0.780	 -0.370
       0.784	 -0.340
       0.788	 -0.310
       0.792	 -0.270
       0.796	 -0.240
       0.800	 -0.205
       0.804	 -0.160
       0.808	 -0.125
       0.812	 -0.105
       0.816	 -0.085
       0.820	 -0.060
       0.824	  0.000
       0.828	  0.010
       0.832	  0.030
       0.836	  0.050
       0.840	  0.070
       0.844	  0.080
       0.848	  0.105
       0.852	  0.120
       0.856	  0.140
       0.860	  0.150
       0.864	  0.160
       0.868	  0.175
       0.872	  0.195
       0.876	  0.205
       0.880	  0.205
       0.884	  0.200
       0.888	  0.210
       0.892	  0.215
       0.896	  0.215
       0.900	  0.215
       0.904	  0.230
       0.908	  0.240
       0.912	  0.245
       0.916	  0.255
       0.920	  0.265
       0.924	  0.270
       0.928	  0.260
       0.932	  0.270
       0.936	  0.270
       0.940	  0.270
       0.944	  0.270
       0.948	  0.280
       0.952	  0.275
       0.956	  0.275
       0.960	  0.275
       0.964	  0.280
       0.968	  0.280
       0.972	  0.285
       0.976	  0.285
       0.980	  0.290
       0.984	  0.290
       0.988	  0.295
       0.992	  0.290
       0.996	  0.280
       1.000	  0.270
       1.004	  0.270
       1.008	  0.275
       1.012	  0.280
       1.016	  0.290
       1.020	  0.310
       1.024	  0.315
       1.028	  0.305
       1.032	  0.305
       1.036	  0.300
       1.040	  0.305
       1.044	  0.315
       1.048	  0.335
       1.052	  0.340
       1.056	  0.360
       1.060	  0.380
       1.064	  0.410
       1.068	  0.435
       1.072	  0.450
       1.076	  0.445
       1.080	  0.440
       1.084	  0.425
       1.088	  0.430
       1.092	  0.430
       1.096	  0.415
       1.100	  0.380
       1.104	  0.345
       1.108	  0.310
       1.112	  0.260
       1.116	  0.215
       1.120	  0.195
       1.124	  0.175
       1.128	  0.155
       1.132	  0.155
       1.136	  0.155
       1.140	  0.150
       1.144	  0.150
       1.148	  0.155
       1.152	  0.155
       1.156	  0.155
       1.160	  0.145
       1.164	  0.145
       1.168	  0.140
       1.172	  0.145
       1.176	  0.145
       1.180	  0.145
       1.184	  0.145
       1.188	  0.125
       1.192	  0.040
       1.196	 -0.185
