Elapsed_time	ECG
       0.000	  0.064
       0.004	  0.072
       0.008	  0.084
       0.012	  0.104
       0.016	  0.109
       0.020	  0.120
       0.024	  0.134
       0.028	  0.149
       0.032	  0.161
       0.036	  0.169
       0.040	  0.179
       0.044	  0.180
       0.048	  0.189
       0.052	  0.189
       0.056	  0.190
       0.060	  0.189
       0.064	  0.194
       0.068	  0.198
       0.072	  0.193
       0.076	  0.188
       0.080	  0.176
       0.084	  0.171
       0.088	  0.158
       0.092	  0.144
       0.096	  0.136
       0.100	  0.136
       0.104	  0.133
       0.108	  0.117
       0.112	  0.115
       0.116	  0.115
       0.120	  0.120
       0.124	  0.117
       0.128	  0.115
       0.132	  0.119
       0.136	  0.114
       0.140	  0.111
       0.144	  0.101
       0.148	  0.096
       0.152	  0.090
       0.156	  0.086
       0.160	  0.075
       0.164	  0.065
       0.168	  0.070
       0.172	  0.074
       0.176	  0.080
       0.180	  0.076
       0.184	  0.084
       0.188	  0.092
       0.192	  0.102
       0.196	  0.109
       0.200	  0.117
       0.204	  0.133
       0.208	  0.141
       0.212	  0.140
       0.216	  0.126
       0.220	  0.128
       0.224	  0.129
       0.228	  0.120
       0.232	  0.098
       0.236	  0.062
       0.240	  0.039
       0.244	  0.026
       0.248	  0.031
       0.252	  0.037
       0.256	  0.048
       0.260	  0.051
       0.264	  0.050
       0.268	  0.048
       0.272	  0.048
       0.276	  0.050
       0.280	  0.046
       0.284	  0.041
       0.288	  0.033
       0.292	  0.034
       0.296	  0.037
       0.300	  0.040
       0.304	  0.039
       0.308	  0.040
       0.312	  0.046
       0.316	  0.043
       0.320	  0.040
       0.324	  0.035
       0.328	  0.039
       0.332	  0.045
       0.336	  0.048
       0.340	  0.055
       0.344	  0.059
       0.348	  0.070
       0.352	  0.075
       0.356	  0.075
       0.360	  0.080
       0.364	  0.094
       0.368	  0.110
       0.372	  0.114
       0.376	  0.117
       0.380	  0.116
       0.384	  0.119
       0.388	  0.113
       0.392	  0.104
       0.396	  0.091
       0.400	  0.085
       0.404	  0.080
       0.408	  0.064
       0.412	  0.040
       0.416	  0.021
       0.420	  0.010
       0.424	 -0.003
       0.428	 -0.015
       0.432	 -0.020
       0.436	 -0.020
       0.440	 -0.016
       0.444	 -0.021
       0.448	 -0.026
       0.452	 -0.025
       0.456	 -0.022
       0.460	 -0.018
       0.464	 -0.025
       0.468	 -0.021
       0.472	 -0.013
       0.476	 -0.003
       0.480	 -0.001
       0.484	  0.000
       0.488	  0.007
       0.492	  0.020
       0.496	  0.024
       0.500	  0.024
       0.504	  0.035
       0.508	  0.058
       0.512	  0.087
       0.516	  0.125
       0.520	  0.193
       0.524	  0.281
       0.528	  0.381
       0.532	  0.460
       0.536	  0.512
       0.540	  0.541
       0.544	  0.530
       0.548	  0.492
       0.552	  0.404
       0.556	  0.325
       0.560	  0.259
       0.564	  0.207
       0.568	  0.158
       0.572	  0.107
       0.576	  0.077
       0.580	  0.061
       0.584	  0.058
       0.588	  0.052
       0.592	  0.050
       0.596	  0.055
       0.600	  0.062
       0.604	  0.059
       0.608	  0.050
       0.612	  0.058
       0.616	  0.072
       0.620	  0.094
       0.624	  0.100
       0.628	  0.087
       0.632	  0.065
       0.636	  0.043
       0.640	  0.021
       0.644	 -0.005
       0.648	 -0.015
       0.652	 -0.026
       0.656	 -0.051
       0.660	 -0.085
       0.664	 -0.100
       0.668	 -0.089
       0.672	 -0.094
       0.676	 -0.107
       0.680	 -0.124
       0.684	 -0.130
       0.688	 -0.125
       0.692	 -0.117
       0.696	 -0.117
       0.700	 -0.129
       0.704	 -0.142
       0.708	 -0.150
       0.712	 -0.158
       0.716	 -0.160
       0.720	 -0.164
       0.724	 -0.164
       0.728	 -0.168
       0.732	 -0.170
       0.736	 -0.170
       0.740	 -0.165
       0.744	 -0.155
       0.748	 -0.150
       0.752	 -0.142
       0.756	 -0.135
       0.760	 -0.121
       0.764	 -0.115
       0.768	 -0.104
       0.772	 -0.085
       0.776	 -0.062
       0.780	 -0.040
       0.784	 -0.021
       0.788	 -0.007
       0.792	  0.004
       0.796	  0.016
       0.800	  0.024
       0.804	  0.034
       0.808	  0.043
       0.812	  0.056
       0.816	  0.065
       0.820	  0.074
       0.824	  0.081
       0.828	  0.085
       0.832	  0.085
       0.836	  0.079
       0.840	  0.075
       0.844	  0.069
       0.848	  0.068
       0.852	  0.065
       0.856	  0.066
       0.860	  0.070
       0.864	  0.075
       0.868	  0.076
       0.872	  0.077
       0.876	  0.079
       0.880	  0.075
       0.884	  0.074
       0.888	  0.069
       0.892	  0.068
       0.896	  0.069
       0.900	  0.071
       0.904	  0.076
       0.908	  0.079
       0.912	  0.087
       0.916	  0.094
       0.920	  0.104
       0.924	  0.096
       0.928	  0.081
       0.932	  0.066
       0.936	  0.058
       0.940	  0.052
       0.944	  0.041
       0.948	  0.034
       0.952	  0.022
       0.956	  0.007
       0.960	 -0.015
       0.964	 -0.028
       0.968	 -0.026
       0.972	 -0.030
       0.976	 -0.025
       0.980	 -0.022
       0.984	 -0.028
       0.988	 -0.036
       0.992	 -0.044
       0.996	 -0.046
       1.000	 -0.055
       1.004	 -0.061
       1.008	 -0.068
       1.012	 -0.074
       1.016	 -0.077
       1.020	 -0.080
       1.024	 -0.080
       1.028	 -0.084
       1.032	 -0.089
       1.036	 -0.101
       1.040	 -0.110
       1.044	 -0.116
       1.048	 -0.130
       1.052	 -0.138
       1.056	 -0.141
       1.060	 -0.139
       1.064	 -0.141
       1.068	 -0.145
       1.072	 -0.147
       1.076	 -0.155
       1.080	 -0.161
       1.084	 -0.172
       1.088	 -0.179
       1.092	 -0.194
       1.096	 -0.198
       1.100	 -0.199
       1.104	 -0.196
       1.108	 -0.189
       1.112	 -0.182
       1.116	 -0.180
       1.120	 -0.184
       1.124	 -0.185
       1.128	 -0.184
       1.132	 -0.177
       1.136	 -0.175
       1.140	 -0.180
       1.144	 -0.185
       1.148	 -0.190
       1.152	 -0.193
       1.156	 -0.203
       1.160	 -0.211
       1.164	 -0.217
       1.168	 -0.224
       1.172	 -0.224
       1.176	 -0.224
       1.180	 -0.229
       1.184	 -0.237
       1.188	 -0.242
       1.192	 -0.247
       1.196	 -0.247
       1.200	 -0.249
       1.204	 -0.245
       1.208	 -0.245
       1.212	 -0.247
       1.216	 -0.244
       1.220	 -0.246
       1.224	 -0.249
       1.228	 -0.247
       1.232	 -0.245
       1.236	 -0.237
       1.240	 -0.233
       1.244	 -0.229
       1.248	 -0.230
       1.252	 -0.228
       1.256	 -0.226
       1.260	 -0.224
       1.264	 -0.223
       1.268	 -0.219
       1.272	 -0.215
       1.276	 -0.198
       1.280	 -0.159
       1.284	 -0.090
       1.288	 -0.005
       1.292	  0.096
       1.296	  0.193
       1.300	  0.251
       1.304	  0.281
       1.308	  0.259
       1.312	  0.199
       1.316	  0.104
       1.320	 -0.001
       1.324	 -0.089
       1.328	 -0.170
       1.332	 -0.240
       1.336	 -0.302
       1.340	 -0.356
       1.344	 -0.389
       1.348	 -0.421
       1.352	 -0.429
       1.356	 -0.439
       1.360	 -0.435
       1.364	 -0.438
       1.368	 -0.440
       1.372	 -0.432
       1.376	 -0.432
       1.380	 -0.425
       1.384	 -0.434
       1.388	 -0.429
       1.392	 -0.432
       1.396	 -0.426
       1.400	 -0.420
       1.404	 -0.419
       1.408	 -0.410
       1.412	 -0.414
       1.416	 -0.414
       1.420	 -0.421
       1.424	 -0.412
       1.428	 -0.414
       1.432	 -0.405
       1.436	 -0.396
       1.440	 -0.395
       1.444	 -0.390
       1.448	 -0.391
       1.452	 -0.386
       1.456	 -0.394
       1.460	 -0.389
       1.464	 -0.385
       1.468	 -0.380
       1.472	 -0.375
       1.476	 -0.379
       1.480	 -0.381
       1.484	 -0.390
       1.488	 -0.386
       1.492	 -0.389
       1.496	 -0.381
       1.500	 -0.371
       1.504	 -0.352
       1.508	 -0.340
       1.512	 -0.326
       1.516	 -0.306
       1.520	 -0.291
       1.524	 -0.274
       1.528	 -0.259
       1.532	 -0.244
       1.536	 -0.226
       1.540	 -0.205
       1.544	 -0.179
       1.548	 -0.154
       1.552	 -0.130
       1.556	 -0.116
       1.560	 -0.102
       1.564	 -0.089
       1.568	 -0.075
       1.572	 -0.071
       1.576	 -0.068
       1.580	 -0.068
       1.584	 -0.061
       1.588	 -0.055
       1.592	 -0.045
       1.596	 -0.035
       1.600	 -0.035
       1.604	 -0.030
       1.608	 -0.022
       1.612	 -0.010
       1.616	 -0.005
       1.620	 -0.001
       1.624	  0.007
       1.628	  0.010
       1.632	  0.018
       1.636	  0.021
       1.640	  0.030
       1.644	  0.030
       1.648	  0.030
       1.652	  0.029
       1.656	  0.036
       1.660	  0.051
       1.664	  0.068
       1.668	  0.085
       1.672	  0.101
       1.676	  0.116
       1.680	  0.125
       1.684	  0.138
       1.688	  0.145
       1.692	  0.147
       1.696	  0.145
       1.700	  0.135
       1.704	  0.125
       1.708	  0.115
       1.712	  0.115
       1.716	  0.115
       1.720	  0.117
       1.724	  0.113
       1.728	  0.110
       1.732	  0.107
       1.736	  0.099
       1.740	  0.092
       1.744	  0.081
       1.748	  0.084
       1.752	  0.089
       1.756	  0.096
       1.760	  0.098
       1.764	  0.095
       1.768	  0.098
       1.772	  0.098
       1.776	  0.095
       1.780	  0.083
       1.784	  0.075
       1.788	  0.066
       1.792	  0.055
       1.796	  0.040
       1.800	  0.028
       1.804	  0.029
       1.808	  0.022
       1.812	  0.019
       1.816	  0.010
       1.820	  0.009
       1.824	  0.004
       1.828	 -0.003
       1.832	 -0.005
       1.836	 -0.011
       1.840	 -0.013
       1.844	 -0.010
       1.848	 -0.007
       1.852	 -0.004
       1.856	  0.009
       1.860	  0.030
       1.864	  0.051
       1.868	  0.075
       1.872	  0.091
       1.876	  0.115
       1.880	  0.135
       1.884	  0.151
       1.888	  0.158
       1.892	  0.177
       1.896	  0.199
       1.900	  0.210
       1.904	  0.219
       1.908	  0.223
       1.912	  0.236
       1.916	  0.237
       1.920	  0.236
       1.924	  0.233
       1.928	  0.229
       1.932	  0.229
       1.936	  0.225
       1.940	  0.223
       1.944	  0.215
       1.948	  0.220
       1.952	  0.217
       1.956	  0.217
       1.960	  0.216
       1.964	  0.220
       1.968	  0.226
       1.972	  0.228
       1.976	  0.228
       1.980	  0.219
       1.984	  0.220
       1.988	  0.219
       1.992	  0.215
       1.996	  0.206
       2.000	  0.200
       2.004	  0.199
       2.008	  0.194
       2.012	  0.194
       2.016	  0.189
       2.020	  0.190
       2.024	  0.191
       2.028	  0.193
       2.032	  0.194
       2.036	  0.191
       2.040	  0.199
       2.044	  0.205
       2.048	  0.228
       2.052	  0.264
       2.056	  0.331
       2.060	  0.417
       2.064	  0.515
       2.068	  0.604
       2.072	  0.659
       2.076	  0.684
       2.080	  0.646
       2.084	  0.584
       2.088	  0.489
       2.092	  0.409
       2.096	  0.340
       2.100	  0.285
       2.104	  0.237
       2.108	  0.188
