Elapsed_time	ECG
      0.000	 -0.120
      0.004	 -0.205
      0.008	 -0.225
      0.012	 -0.265
      0.016	 -0.260
      0.020	 -0.260
      0.024	 -0.280
      0.028	 -0.315
      0.032	 -0.340
      0.036	 -0.390
      0.040	 -0.405
      0.044	 -0.385
      0.048	 -0.360
      0.052	 -0.325
      0.056	 -0.285
      0.060	 -0.235
      0.064	 -0.205
      0.068	 -0.170
      0.072	 -0.150
      0.076	 -0.070
      0.080	 -0.035
      0.084	  0.000
      0.088	  0.040
      0.092	  0.070
      0.096	  0.075
      0.100	  0.095
      0.104	  0.105
      0.108	  0.120
      0.112	  0.135
      0.116	  0.165
      0.120	  0.195
      0.124	  0.205
      0.128	  0.220
      0.132	  0.210
      0.136	  0.195
      0.140	  0.175
      0.144	  0.140
      0.148	  0.135
      0.152	  0.135
      0.156	  0.135
      0.160	  0.145
      0.164	  0.120
      0.168	  0.120
      0.172	  0.080
      0.176	  0.110
      0.180	  0.100
      0.184	  0.110
      0.188	  0.140
      0.192	  0.135
      0.196	  0.070
      0.200	  0.035
      0.204	 -0.015
      0.208	 -0.055
      0.212	 -0.085
      0.216	 -0.055
      0.220	 -0.015
      0.224	 -0.035
      0.228	 -0.080
      0.232	 -0.130
      0.236	 -0.195
      0.240	 -0.225
      0.244	 -0.255
      0.248	 -0.255
      0.252	 -0.245
      0.256	 -0.260
      0.260	 -0.300
      0.264	 -0.330
      0.268	 -0.325
      0.272	 -0.305
      0.276	 -0.275
      0.280	 -0.270
      0.284	 -0.210
      0.288	 -0.145
      0.292	 -0.090
      0.296	 -0.080
      0.300	 -0.035
      0.304	 -0.030
      0.308	  0.000
      0.312	  0.035
      0.316	  0.040
      0.320	  0.040
      0.324	  0.050
      0.328	  0.070
      0.332	  0.105
      0.336	  0.175
      0.340	  0.215
      0.344	  0.235
      0.348	  0.210
      0.352	  0.180
      0.356	  0.180
      0.360	  0.140
      0.364	  0.145
      0.368	  0.120
      0.372	  0.105
      0.376	  0.090
      0.380	  0.090
      0.384	  0.100
      0.388	  0.105
      0.392	  0.110
      0.396	  0.100
      0.400	  0.075
      0.404	  0.030
      0.408	 -0.010
      0.412	 -0.060
      0.416	 -0.075
      0.420	 -0.090
      0.424	 -0.135
      0.428	 -0.190
      0.432	 -0.240
      0.436	 -0.290
      0.440	 -0.370
      0.444	 -0.400
      0.448	 -0.400
      0.452	 -0.415
      0.456	 -0.400
      0.460	 -0.420
      0.464	 -0.445
      0.468	 -0.475
      0.472	 -0.515
      0.476	 -0.525
      0.480	 -0.510
      0.484	 -0.470
      0.488	 -0.430
      0.492	 -0.395
      0.496	 -0.395
      0.500	 -0.355
      0.504	 -0.295
      0.508	 -0.210
      0.512	 -0.080
      0.516	 -0.030
      0.520	  0.005
      0.524	  0.035
      0.528	  0.010
      0.532	  0.030
      0.536	  0.060
      0.540	  0.070
      0.544	  0.090
      0.548	  0.140
      0.552	  0.150
      0.556	  0.180
      0.560	  0.180
      0.564	  0.150
      0.568	  0.115
      0.572	  0.080
      0.576	  0.065
      0.580	  0.110
      0.584	  0.145
      0.588	  0.185
      0.592	  0.115
      0.596	  0.105
      0.600	  0.045
      0.604	  0.015
      0.608	  0.010
      0.612	 -0.035
      0.616	 -0.010
      0.620	 -0.055
      0.624	 -0.105
      0.628	 -0.135
      0.632	 -0.170
      0.636	 -0.195
      0.640	 -0.230
      0.644	 -0.250
      0.648	 -0.265
      0.652	 -0.285
      0.656	 -0.315
      0.660	 -0.335
      0.664	 -0.370
      0.668	 -0.390
      0.672	 -0.395
      0.676	 -0.390
      0.680	 -0.405
      0.684	 -0.390
      0.688	 -0.370
      0.692	 -0.360
      0.696	 -0.370
      0.700	 -0.355
      0.704	 -0.310
      0.708	 -0.245
      0.712	 -0.130
      0.716	 -0.040
      0.720	  0.040
      0.724	  0.100
      0.728	  0.105
      0.732	  0.110
      0.736	  0.120
      0.740	  0.100
      0.744	  0.130
      0.748	  0.155
      0.752	  0.200
      0.756	  0.225
      0.760	  0.280
      0.764	  0.300
      0.768	  0.305
      0.772	  0.280
      0.776	  0.275
      0.780	  0.255
      0.784	  0.215
      0.788	  0.240
      0.792	  0.245
      0.796	  0.260
      0.800	  0.245
      0.804	  0.205
      0.808	  0.165
      0.812	  0.130
      0.816	  0.090
      0.820	  0.050
      0.824	  0.030
      0.828	 -0.020
      0.832	 -0.075
      0.836	 -0.145
