Elapsed_time	ECG
      0.000	  0.365
      0.004	  0.350
      0.008	  0.335
      0.012	  0.320
      0.016	  0.325
      0.020	  0.315
      0.024	  0.325
      0.028	  0.320
      0.032	  0.295
      0.036	  0.300
      0.040	  0.290
      0.044	  0.305
      0.048	  0.315
      0.052	  0.315
      0.056	  0.310
      0.060	  0.305
      0.064	  0.295
      0.068	  0.260
      0.072	  0.260
      0.076	  0.265
      0.080	  0.285
      0.084	  0.295
      0.088	  0.285
      0.092	  0.290
      0.096	  0.280
      0.100	  0.285
      0.104	  0.295
      0.108	  0.295
      0.112	  0.305
      0.116	  0.315
      0.120	  0.335
      0.124	  0.330
      0.128	  0.340
      0.132	  0.340
      0.136	  0.340
      0.140	  0.350
      0.144	  0.365
      0.148	  0.385
      0.152	  0.410
      0.156	  0.415
      0.160	  0.420
      0.164	  0.430
      0.168	  0.420
      0.172	  0.420
      0.176	  0.430
      0.180	  0.420
      0.184	  0.425
      0.188	  0.425
      0.192	  0.415
      0.196	  0.395
      0.200	  0.360
      0.204	  0.345
      0.208	  0.345
      0.212	  0.340
      0.216	  0.350
      0.220	  0.350
      0.224	  0.350
      0.228	  0.335
      0.232	  0.315
      0.236	  0.315
      0.240	  0.330
      0.244	  0.315
      0.248	  0.330
      0.252	  0.345
      0.256	  0.345
      0.260	  0.355
      0.264	  0.345
      0.268	  0.345
      0.272	  0.370
      0.276	  0.375
      0.280	  0.405
      0.284	  0.440
      0.288	  0.455
      0.292	  0.460
      0.296	  0.470
      0.300	  0.455
      0.304	  0.455
      0.308	  0.455
      0.312	  0.465
      0.316	  0.485
      0.320	  0.475
      0.324	  0.480
      0.328	  0.470
      0.332	  0.450
      0.336	  0.430
      0.340	  0.410
      0.344	  0.405
      0.348	  0.405
      0.352	  0.420
      0.356	  0.410
      0.360	  0.415
      0.364	  0.395
      0.368	  0.380
      0.372	  0.370
      0.376	  0.375
      0.380	  0.385
      0.384	  0.385
      0.388	  0.370
      0.392	  0.365
      0.396	  0.345
      0.400	  0.330
      0.404	  0.320
      0.408	  0.310
