Elapsed_time	ECG
      0.000	 -0.780
      0.004	 -0.755
      0.008	 -0.760
      0.012	 -0.760
      0.016	 -0.720
      0.020	 -0.615
      0.024	 -0.580
      0.028	 -0.475
      0.032	 -0.290
      0.036	 -0.115
      0.040	  0.040
      0.044	  0.245
      0.048	  0.630
      0.052	  0.965
      0.056	  1.075
      0.060	  1.245
      0.064	  1.415
      0.068	  1.485
      0.072	  1.630
      0.076	  1.760
      0.080	  1.725
      0.084	  1.660
      0.088	  1.665
      0.092	  1.570
      0.096	  1.515
      0.100	  1.445
      0.104	  1.330
      0.108	  1.190
      0.112	  0.955
      0.116	  0.720
      0.120	  0.500
      0.124	  0.310
      0.128	  0.150
      0.132	  0.020
      0.136	 -0.035
      0.140	 -0.130
      0.144	 -0.265
      0.148	 -0.440
      0.152	 -0.555
      0.156	 -0.635
      0.160	 -0.715
      0.164	 -0.785
      0.168	 -0.870
      0.172	 -0.900
      0.176	 -0.880
      0.180	 -0.845
      0.184	 -0.815
      0.188	 -0.815
      0.192	 -0.760
      0.196	 -0.745
      0.200	 -0.720
      0.204	 -0.690
      0.208	 -0.630
      0.212	 -0.630
      0.216	 -0.570
      0.220	 -0.550
      0.224	 -0.470
      0.228	 -0.400
      0.232	 -0.345
      0.236	 -0.345
      0.240	 -0.295
      0.244	 -0.240
      0.248	 -0.215
      0.252	 -0.250
      0.256	 -0.230
      0.260	 -0.210
      0.264	 -0.190
      0.268	 -0.185
      0.272	 -0.155
      0.276	 -0.135
      0.280	 -0.115
      0.284	 -0.115
      0.288	 -0.070
      0.292	 -0.055
      0.296	 -0.050
      0.300	 -0.040
      0.304	 -0.005
      0.308	  0.000
      0.312	  0.015
      0.316	  0.065
      0.320	  0.110
      0.324	  0.180
      0.328	  0.220
      0.332	  0.340
      0.336	  0.440
      0.340	  0.475
      0.344	  0.510
      0.348	  0.630
      0.352	  0.770
      0.356	  0.865
      0.360	  1.010
      0.364	  1.270
      0.368	  1.510
      0.372	  1.630
      0.376	  1.775
      0.380	  1.915
      0.384	  1.930
      0.388	  1.940
      0.392	  2.030
      0.396	  2.150
      0.400	  2.165
      0.404	  2.160
      0.408	  2.075
      0.412	  1.930
      0.416	  1.625
      0.420	  1.455
      0.424	  1.265
      0.428	  1.035
      0.432	  0.710
      0.436	  0.450
      0.440	  0.300
      0.444	  0.095
      0.448	 -0.085
      0.452	 -0.275
      0.456	 -0.460
      0.460	 -0.635
      0.464	 -0.770
      0.468	 -0.920
      0.472	 -0.985
      0.476	 -1.015
      0.480	 -1.040
      0.484	 -1.020
      0.488	 -1.010
      0.492	 -1.055
      0.496	 -1.040
      0.500	 -1.010
      0.504	 -1.030
      0.508	 -1.005
      0.512	 -0.975
      0.516	 -0.995
      0.520	 -0.970
      0.524	 -0.925
      0.528	 -0.875
      0.532	 -0.890
      0.536	 -0.880
      0.540	 -0.840
      0.544	 -0.840
      0.548	 -0.800
      0.552	 -0.780
      0.556	 -0.750
      0.560	 -0.740
      0.564	 -0.785
      0.568	 -0.765
      0.572	 -0.685
      0.576	 -0.690
      0.580	 -0.685
      0.584	 -0.650
      0.588	 -0.660
      0.592	 -0.625
      0.596	 -0.620
      0.600	 -0.590
      0.604	 -0.575
      0.608	 -0.560
      0.612	 -0.540
      0.616	 -0.535
      0.620	 -0.535
      0.624	 -0.525
      0.628	 -0.510
      0.632	 -0.520
      0.636	 -0.470
      0.640	 -0.455
      0.644	 -0.420
      0.648	 -0.355
      0.652	 -0.305
      0.656	 -0.255
      0.660	 -0.250
      0.664	 -0.130
      0.668	  0.020
      0.672	  0.155
      0.676	  0.290
      0.680	  0.475
      0.684	  0.680
      0.688	  0.805
      0.692	  0.865
      0.696	  0.985
      0.700	  1.120
      0.704	  1.280
      0.708	  1.360
      0.712	  1.420
      0.716	  1.505
      0.720	  1.550
      0.724	  1.595
      0.728	  1.635
      0.732	  1.730
      0.736	  1.800
      0.740	  1.820
      0.744	  2.040
      0.748	  2.265
      0.752	  2.320
      0.756	  2.335
      0.760	  2.230
      0.764	  1.845
      0.768	  1.520
      0.772	  1.140
      0.776	  0.730
      0.780	  0.270
      0.784	 -0.095
      0.788	 -0.290
      0.792	 -0.525
      0.796	 -0.680
      0.800	 -0.730
      0.804	 -0.855
      0.808	 -0.940
      0.812	 -0.940
      0.816	 -0.945
      0.820	 -0.965
      0.824	 -0.890
      0.828	 -0.835
      0.832	 -0.885
      0.836	 -0.880
      0.840	 -0.845
      0.844	 -0.845
      0.848	 -0.825
      0.852	 -0.840
      0.856	 -0.805
      0.860	 -0.800
      0.864	 -0.845
      0.868	 -0.805
      0.872	 -0.785
      0.876	 -0.805
      0.880	 -0.810
      0.884	 -0.800
      0.888	 -0.800
      0.892	 -0.775
      0.896	 -0.785
      0.900	 -0.775
      0.904	 -0.725
      0.908	 -0.735
      0.912	 -0.715
      0.916	 -0.725
      0.920	 -0.690
      0.924	 -0.685
      0.928	 -0.685
      0.932	 -0.645
      0.936	 -0.605
      0.940	 -0.665
      0.944	 -0.625
      0.948	 -0.620
      0.952	 -0.620
      0.956	 -0.605
      0.960	 -0.580
      0.964	 -0.570
      0.968	 -0.560
      0.972	 -0.550
      0.976	 -0.525
      0.980	 -0.485
      0.984	 -0.450
      0.988	 -0.400
      0.992	 -0.335
      0.996	 -0.265
      1.000	 -0.190
      1.004	 -0.110
      1.008	 -0.025
      1.012	  0.145
      1.016	  0.310
      1.020	  0.470
