Elapsed_time	ECG
      0.000	  0.060
      0.004	  0.020
      0.008	 -0.010
      0.012	  0.010
      0.016	 -0.065
      0.020	 -0.110
      0.024	 -0.145
      0.028	 -0.145
      0.032	 -0.110
      0.036	 -0.115
      0.040	 -0.140
      0.044	 -0.105
      0.048	 -0.105
      0.052	 -0.070
      0.056	 -0.060
      0.060	 -0.005
      0.064	  0.025
      0.068	  0.050
      0.072	  0.125
      0.076	  0.155
      0.080	  0.210
      0.084	  0.210
      0.088	  0.210
      0.092	  0.290
      0.096	  0.320
      0.100	  0.355
      0.104	  0.375
      0.108	  0.385
      0.112	  0.370
      0.116	  0.355
      0.120	  0.345
      0.124	  0.395
      0.128	  0.450
      0.132	  0.475
      0.136	  0.475
      0.140	  0.465
      0.144	  0.430
      0.148	  0.420
      0.152	  0.410
      0.156	  0.430
      0.160	  0.465
      0.164	  0.470
      0.168	  0.445
      0.172	  0.475
      0.176	  0.485
      0.180	  0.450
      0.184	  0.420
      0.188	  0.395
      0.192	  0.345
      0.196	  0.310
      0.200	  0.335
      0.204	  0.315
      0.208	  0.305
      0.212	  0.300
      0.216	  0.250
      0.220	  0.195
      0.224	  0.130
      0.228	  0.145
      0.232	  0.185
      0.236	  0.175
      0.240	  0.135
      0.244	  0.150
      0.248	  0.065
      0.252	  0.035
      0.256	 -0.005
      0.260	 -0.035
      0.264	 -0.050
      0.268	 -0.055
      0.272	 -0.025
      0.276	 -0.060
      0.280	 -0.075
      0.284	 -0.065
      0.288	 -0.100
      0.292	 -0.135
      0.296	 -0.110
      0.300	 -0.080
      0.304	 -0.045
      0.308	  0.020
      0.312	  0.045
      0.316	  0.040
      0.320	  0.070
      0.324	  0.085
      0.328	  0.030
      0.332	  0.110
      0.336	  0.175
      0.340	  0.190
      0.344	  0.180
      0.348	  0.190
      0.352	  0.200
      0.356	  0.250
      0.360	  0.225
      0.364	  0.215
      0.368	  0.265
      0.372	  0.270
      0.376	  0.320
      0.380	  0.320
      0.384	  0.340
      0.388	  0.350
      0.392	  0.340
      0.396	  0.380
      0.400	  0.385
      0.404	  0.410
      0.408	  0.475
      0.412	  0.490
      0.416	  0.495
      0.420	  0.475
      0.424	  0.460
      0.428	  0.425
      0.432	  0.425
      0.436	  0.395
      0.440	  0.365
      0.444	  0.380
      0.448	  0.335
      0.452	  0.240
      0.456	  0.220
      0.460	  0.165
      0.464	  0.110
      0.468	  0.105
      0.472	  0.105
      0.476	  0.125
      0.480	  0.110
      0.484	  0.125
      0.488	  0.085
      0.492	  0.050
      0.496	 -0.010
      0.500	 -0.030
      0.504	 -0.045
      0.508	 -0.080
      0.512	 -0.135
      0.516	 -0.145
      0.520	 -0.185
      0.524	 -0.230
      0.528	 -0.210
      0.532	 -0.250
      0.536	 -0.245
      0.540	 -0.270
      0.544	 -0.230
      0.548	 -0.270
      0.552	 -0.315
      0.556	 -0.295
      0.560	 -0.240
      0.564	 -0.175
      0.568	 -0.140
      0.572	 -0.125
      0.576	 -0.120
      0.580	 -0.095
      0.584	 -0.085
      0.588	 -0.055
      0.592	 -0.060
      0.596	 -0.040
      0.600	 -0.005
      0.604	 -0.030
      0.608	 -0.015
      0.612	  0.045
      0.616	  0.060
      0.620	  0.110
      0.624	  0.155
      0.628	  0.175
      0.632	  0.200
      0.636	  0.240
      0.640	  0.255
      0.644	  0.275
      0.648	  0.275
      0.652	  0.255
      0.656	  0.265
      0.660	  0.240
      0.664	  0.295
      0.668	  0.350
      0.672	  0.325
      0.676	  0.290
      0.680	  0.225
      0.684	  0.270
      0.688	  0.315
      0.692	  0.340
      0.696	  0.320
      0.700	  0.330
      0.704	  0.345
      0.708	  0.355
      0.712	  0.320
      0.716	  0.330
      0.720	  0.315
      0.724	  0.350
      0.728	  0.355
      0.732	  0.395
      0.736	  0.360
      0.740	  0.335
      0.744	  0.330
      0.748	  0.265
      0.752	  0.245
      0.756	  0.280
      0.760	  0.275
      0.764	  0.245
      0.768	  0.220
      0.772	  0.240
      0.776	  0.235
      0.780	  0.155
      0.784	  0.100
      0.788	  0.090
      0.792	  0.080
      0.796	  0.080
      0.800	  0.095
      0.804	  0.130
      0.808	  0.155
      0.812	  0.150
      0.816	  0.180
      0.820	  0.190
      0.824	  0.210
      0.828	  0.210
      0.832	  0.240
      0.836	  0.235
      0.840	  0.235
      0.844	  0.290
      0.848	  0.350
      0.852	  0.365
      0.856	  0.405
      0.860	  0.410
      0.864	  0.405
      0.868	  0.440
      0.872	  0.435
      0.876	  0.450
      0.880	  0.510
      0.884	  0.500
      0.888	  0.510
      0.892	  0.620
      0.896	  0.680
      0.900	  0.685
      0.904	  0.670
      0.908	  0.720
      0.912	  0.780
      0.916	  0.800
      0.920	  0.765
      0.924	  0.790
      0.928	  0.815
      0.932	  0.830
      0.936	  0.800
      0.940	  0.795
      0.944	  0.825
      0.948	  0.840
      0.952	  0.805
      0.956	  0.740
      0.960	  0.685
      0.964	  0.640
      0.968	  0.655
      0.972	  0.610
      0.976	  0.585
      0.980	  0.580
      0.984	  0.545
      0.988	  0.545
      0.992	  0.575
      0.996	  0.555
      1.000	  0.545
      1.004	  0.545
      1.008	  0.500
      1.012	  0.485
      1.016	  0.460
      1.020	  0.470
      1.024	  0.400
      1.028	  0.360
      1.032	  0.270
      1.036	  0.225
      1.040	  0.190
      1.044	  0.165
      1.048	  0.140
      1.052	  0.140
      1.056	  0.170
      1.060	  0.185
      1.064	  0.170
      1.068	  0.145
      1.072	  0.170
      1.076	  0.235
      1.080	  0.270
      1.084	  0.225
      1.088	  0.240
      1.092	  0.250
      1.096	  0.250
      1.100	  0.305
      1.104	  0.370
      1.108	  0.445
      1.112	  0.445
      1.116	  0.425
      1.120	  0.450
      1.124	  0.440
      1.128	  0.490
      1.132	  0.570
      1.136	  0.570
      1.140	  0.600
      1.144	  0.610
      1.148	  0.650
      1.152	  0.715
      1.156	  0.735
      1.160	  0.720
      1.164	  0.800
      1.168	  0.880
